optimizer,epoch,train_loss,test_acc,time_s
adamw,1,1.3802,55.62,44.1
adamw,2,0.9053,70.72,87.3
adamw,3,0.6923,76.79,132.6
adamw,4,0.5736,79.11,181.4
adamw,5,0.5003,82.03,230.6
adamw,6,0.4421,82.91,280.0
adamw,7,0.4010,85.07,328.7
adamw,8,0.3600,83.45,377.7
adamw,9,0.3332,85.72,427.0
adamw,10,0.3043,84.70,475.8
adamw,11,0.2793,86.13,525.0
adamw,12,0.2635,86.37,573.9
adamw,13,0.2440,87.86,623.8
adamw,14,0.2239,89.18,672.6
adamw,15,0.2101,89.16,721.6
adamw,16,0.1954,89.22,770.5
adamw,17,0.1791,89.44,820.3
adamw,18,0.1707,88.92,868.9
adamw,19,0.1562,88.09,917.4
adamw,20,0.1474,88.65,965.9
adamw,21,0.1401,90.63,1015.1
adamw,22,0.1334,90.06,1063.8
adamw,23,0.1229,89.86,1112.5
adamw,24,0.1172,91.02,1161.9
adamw,25,0.1075,90.36,1211.4
adamw,26,0.0999,90.26,1260.6
adamw,27,0.0985,89.69,1309.4
adamw,28,0.0894,90.70,1358.8
adamw,29,0.0865,91.02,1408.0
adamw,30,0.0809,89.57,1457.0
adamw,31,0.0819,91.14,1505.4
adamw,32,0.0770,90.68,1554.9
adamw,33,0.0727,91.10,1603.9
adamw,34,0.0660,91.06,1652.7
adamw,35,0.0629,91.79,1701.9
adamw,36,0.0623,91.42,1750.3
adamw,37,0.0594,91.08,1799.1
adamw,38,0.0567,91.29,1848.0
adamw,39,0.0601,91.19,1897.8
adamw,40,0.0540,91.89,1946.2
adamw,41,0.0500,91.21,1994.8
adamw,42,0.0501,90.30,2044.1
adamw,43,0.0479,91.59,2093.4
adamw,44,0.0456,91.42,2141.8
adamw,45,0.0455,91.49,2190.5
adamw,46,0.0457,91.47,2240.4
adamw,47,0.0438,91.61,2289.2
adamw,48,0.0412,91.94,2338.1
adamw,49,0.0386,91.87,2387.3
adamw,50,0.0376,91.86,2435.9
muon,1,1.0517,75.68,73.6
muon,2,0.5520,82.08,147.0
muon,3,0.4140,84.74,220.0
muon,4,0.3388,86.98,293.2
muon,5,0.2902,87.33,367.2
muon,6,0.2490,89.79,440.1
muon,7,0.2144,89.92,513.2
muon,8,0.1867,89.17,587.2
muon,9,0.1673,90.08,660.3
muon,10,0.1468,90.30,733.5
muon,11,0.1349,90.27,806.9
muon,12,0.1247,91.40,880.1
muon,13,0.1147,91.55,953.3
muon,14,0.1042,91.10,1026.3
muon,15,0.0952,91.39,1099.3
muon,16,0.0887,91.15,1173.4
muon,17,0.0803,91.84,1246.3
muon,18,0.0781,91.55,1319.0
muon,19,0.0729,92.24,1392.6
muon,20,0.0673,91.81,1465.5
muon,21,0.0635,92.55,1538.5
muon,22,0.0601,91.87,1611.5
muon,23,0.0573,92.24,1684.5
muon,24,0.0561,91.78,1757.6
muon,25,0.0523,92.64,1830.4
muon,26,0.0504,92.27,1903.3
muon,27,0.0482,92.19,1976.7
muon,28,0.0460,92.71,2049.5
muon,29,0.0455,92.82,2122.5
muon,30,0.0432,92.14,2196.2
muon,31,0.0422,92.53,2268.9
muon,32,0.0381,92.40,2341.9
muon,33,0.0418,92.56,2414.7
muon,34,0.0362,92.71,2487.5
muon,35,0.0367,92.50,2561.0
muon,36,0.0369,92.19,2633.6
muon,37,0.0321,92.73,2706.3
muon,38,0.0337,92.24,2779.1
muon,39,0.0342,92.65,2852.9
muon,40,0.0340,92.82,2925.6
muon,41,0.0290,92.29,2998.4
muon,42,0.0286,92.65,3071.0
muon,43,0.0304,92.57,3144.5
muon,44,0.0303,92.57,3217.5
muon,45,0.0282,92.82,3290.3
muon,46,0.0274,92.58,3362.9
muon,47,0.0274,92.46,3436.5
muon,48,0.0282,92.78,3509.2
muon,49,0.0260,92.75,3582.1
muon,50,0.0241,92.45,3654.7
muonsam,1,1.0527,76.10,73.6
muonsam,2,0.5518,83.13,146.7
muonsam,3,0.4185,84.80,219.8
muonsam,4,0.3397,85.11,292.9
muonsam,5,0.2892,88.01,366.8
muonsam,6,0.2473,89.47,440.4
muonsam,7,0.2167,90.08,513.6
muonsam,8,0.1883,88.69,586.7
muonsam,9,0.1704,90.26,659.9
muonsam,10,0.1495,90.48,733.5
muonsam,11,0.1341,91.42,806.3
muonsam,12,0.1258,90.92,879.2
muonsam,13,0.1127,91.61,951.9
muonsam,14,0.1068,91.63,1025.8
muonsam,15,0.0952,92.01,1098.8
muonsam,16,0.0858,92.06,1208.3
muonsam,17,0.0849,92.73,1318.1
muonsam,18,0.0848,92.39,1428.6
muonsam,19,0.0781,92.66,1538.4
muonsam,20,0.0733,92.90,1648.3
muonsam,21,0.0658,92.88,1758.0
muonsam,22,0.0629,93.01,1868.7
