optimizer,epoch,train_loss,test_acc,time_s
adamw,1,1.3427,53.19,43.2
adamw,2,0.8615,71.83,85.5
adamw,3,0.6733,69.29,128.6
adamw,4,0.5712,77.02,172.4
adamw,5,0.4984,82.09,217.7
adamw,6,0.4455,82.96,262.4
adamw,7,0.3962,81.33,307.5
adamw,8,0.3639,84.40,352.4
adamw,9,0.3356,83.48,397.3
adamw,10,0.3041,87.09,442.3
adamw,11,0.2808,86.92,487.3
adamw,12,0.2605,87.28,532.2
adamw,13,0.2446,87.74,577.1
adamw,14,0.2273,88.61,622.0
adamw,15,0.2109,89.02,666.8
adamw,16,0.1949,86.21,711.8
adamw,17,0.1864,87.89,756.8
adamw,18,0.1729,89.66,801.9
adamw,19,0.1594,90.13,846.9
adamw,20,0.1516,89.29,892.0
adamw,21,0.1416,88.99,937.0
adamw,22,0.1262,89.69,981.9
adamw,23,0.1235,89.39,1026.9
adamw,24,0.1138,88.66,1072.0
adamw,25,0.1103,89.42,1117.0
adamw,26,0.1039,89.63,1162.0
adamw,27,0.0970,90.13,1207.0
adamw,28,0.0916,90.27,1251.9
adamw,29,0.0872,90.75,1296.9
adamw,30,0.0797,89.97,1341.8
adamw,31,0.0817,90.69,1386.8
adamw,32,0.0745,91.44,1431.7
adamw,33,0.0723,91.05,1476.7
adamw,34,0.0666,90.45,1521.6
adamw,35,0.0641,91.34,1566.6
adamw,36,0.0635,91.29,1611.5
adamw,37,0.0602,91.52,1656.5
adamw,38,0.0592,91.34,1701.5
adamw,39,0.0547,91.27,1746.4
adamw,40,0.0531,91.17,1791.4
adamw,41,0.0528,91.62,1836.4
adamw,42,0.0456,91.24,1881.4
adamw,43,0.0493,91.09,1926.4
adamw,44,0.0487,91.60,1971.4
adamw,45,0.0458,91.54,2016.4
adamw,46,0.0443,90.98,2061.4
adamw,47,0.0467,91.53,2106.4
adamw,48,0.0358,91.40,2151.4
adamw,49,0.0439,91.74,2196.3
adamw,50,0.0387,91.15,2241.4
muon,1,1.0483,74.56,68.6
muon,2,0.5552,81.85,136.9
muon,3,0.4197,86.05,205.4
muon,4,0.3411,87.72,273.7
muon,5,0.2879,89.15,342.1
muon,6,0.2432,89.07,410.5
muon,7,0.2137,88.45,478.9
muon,8,0.1883,90.45,547.3
muon,9,0.1684,89.99,615.6
muon,10,0.1512,90.79,684.0
muon,11,0.1332,90.99,752.3
muon,12,0.1243,90.96,820.7
muon,13,0.1118,91.87,889.0
muon,14,0.1044,91.34,957.5
muon,15,0.0943,91.61,1025.9
muon,16,0.0882,91.61,1094.3
muon,17,0.0835,91.61,1162.7
muon,18,0.0784,92.03,1231.1
muon,19,0.0680,91.79,1299.4
muon,20,0.0665,91.80,1367.8
muon,21,0.0710,91.83,1436.2
muon,22,0.0592,91.93,1504.6
muon,23,0.0568,91.93,1573.0
muon,24,0.0550,92.08,1641.3
muon,25,0.0523,92.43,1709.7
muon,26,0.0505,92.66,1778.0
muon,27,0.0491,92.67,1846.3
muon,28,0.0469,92.50,1914.6
muon,29,0.0442,92.77,1982.8
muon,30,0.0427,92.48,2051.1
muon,31,0.0418,92.73,2119.4
muon,32,0.0402,92.42,2187.8
muon,33,0.0384,92.45,2256.1
muon,34,0.0387,91.84,2324.4
muon,35,0.0362,92.62,2392.7
muon,36,0.0360,92.89,2461.0
muon,37,0.0359,92.89,2529.4
muon,38,0.0350,92.79,2597.7
muon,39,0.0316,92.99,2666.1
muon,40,0.0318,92.44,2734.4
muon,41,0.0317,92.64,2802.7
muon,42,0.0297,92.53,2871.1
muon,43,0.0303,92.74,2939.5
muon,44,0.0290,92.79,3007.9
muon,45,0.0285,92.74,3076.3
muon,46,0.0260,92.81,3144.6
muon,47,0.0268,92.93,3213.0
muon,48,0.0261,92.89,3281.2
muon,49,0.0260,92.88,3349.6
muon,50,0.0269,92.96,3417.9
muonsam,1,1.0480,74.55,68.4
muonsam,2,0.5582,83.00,136.9
muonsam,3,0.4268,84.82,205.5
muonsam,4,0.3459,87.39,273.9
muonsam,5,0.2885,88.27,342.3
muonsam,6,0.2435,89.10,410.7
muonsam,7,0.2150,89.56,479.0
muonsam,8,0.1913,89.97,547.5
muonsam,9,0.1709,90.24,616.0
muonsam,10,0.1539,90.24,684.4
