# dataset=imagenette px=64 epochs=50 seed=1 batch=128 wd=0.0005 rho_max=0.05 rho_aux=0.01 torch=2.10.0+cu128
optimizer,epoch,train_loss,test_acc,time_s,lr
muon,1,1.4402,60.48,35.7,0.02
muon,2,0.9037,71.46,71.9,0.02
muon,3,0.7229,77.55,109.1,0.02
muon,4,0.5986,80.56,145.6,0.02
muon,5,0.5087,81.50,182.5,0.02
muon,6,0.4456,80.56,219.3,0.02
muon,7,0.4100,81.96,256.1,0.02
muon,8,0.3581,81.61,293.0,0.02
muon,9,0.3259,85.83,329.9,0.02
muon,10,0.2967,83.95,366.7,0.02
muon,11,0.2758,84.05,403.5,0.02
muon,12,0.2478,86.60,440.3,0.02
muon,13,0.2278,87.34,477.2,0.02
muon,14,0.2082,85.89,514.0,0.02
muon,15,0.1865,85.68,550.9,0.02
muon,16,0.1686,87.11,587.7,0.02
muon,17,0.1680,86.78,624.6,0.02
muon,18,0.1564,87.64,661.4,0.02
muon,19,0.1484,87.75,698.3,0.02
muon,20,0.1370,88.33,735.1,0.02
muon,21,0.1304,87.59,772.0,0.02
muon,22,0.1211,88.25,808.8,0.02
muon,23,0.1225,88.31,845.6,0.02
muon,24,0.1029,86.65,882.4,0.02
muon,25,0.1141,87.31,919.3,0.02
muon,26,0.1036,87.87,956.1,0.02
muon,27,0.1041,88.33,992.9,0.02
muon,28,0.0961,88.33,1029.8,0.02
muon,29,0.0918,89.07,1066.6,0.02
muon,30,0.0965,89.55,1103.5,0.02
muon,31,0.0857,87.21,1140.3,0.02
muon,32,0.0734,88.41,1177.1,0.02
muon,33,0.0917,87.97,1214.0,0.02
muon,34,0.0827,88.82,1250.8,0.02
muon,35,0.0809,88.05,1287.6,0.02
muon,36,0.0793,88.46,1324.4,0.02
muon,37,0.0810,88.18,1361.2,0.02
muon,38,0.0688,89.68,1398.1,0.02
muon,39,0.0682,88.31,1434.9,0.02
muon,40,0.0682,88.28,1471.7,0.02
muon,41,0.0679,89.38,1508.6,0.02
muon,42,0.0649,89.58,1545.4,0.02
muon,43,0.0617,89.78,1582.3,0.02
muon,44,0.0614,89.27,1619.1,0.02
muon,45,0.0618,89.30,1655.9,0.02
muon,46,0.0608,88.87,1692.8,0.02
muon,47,0.0632,87.31,1729.6,0.02
muon,48,0.0595,89.48,1766.5,0.02
muon,49,0.0553,89.45,1803.2,0.02
muon,50,0.0496,89.89,1840.1,0.02
muonsam,1,1.4360,57.40,36.8,0.02
muonsam,2,0.9042,74.17,73.6,0.02
muonsam,3,0.7272,76.76,110.4,0.02
muonsam,4,0.6108,79.29,147.3,0.02
muonsam,5,0.5075,80.10,184.1,0.02
muonsam,6,0.4508,82.19,221.0,0.02
muonsam,7,0.4055,80.82,257.8,0.02
muonsam,8,0.3624,83.57,294.6,0.02
muonsam,9,0.3219,85.10,331.5,0.02
muonsam,10,0.2984,84.03,368.3,0.02
muonsam,11,0.2693,86.29,405.2,0.02
muonsam,12,0.2462,87.80,442.0,0.02
muonsam,13,0.2315,87.82,478.8,0.02
muonsam,14,0.2025,86.11,515.6,0.02
muonsam,15,0.1828,85.43,552.5,0.02
muonsam,16,0.1747,87.18,599.4,0.02
muonsam,17,0.1739,89.12,646.8,0.02
muonsam,18,0.1633,88.59,694.2,0.02
muonsam,19,0.1934,89.78,741.7,0.02
muonsam,20,0.1947,89.02,789.2,0.02
muonsam,21,0.1757,88.69,836.3,0.02
muonsam,22,0.1457,88.92,883.8,0.02
muonsam,23,0.1452,90.37,931.4,0.02
muonsam,24,0.1399,87.95,978.9,0.02
muonsam,25,0.1399,89.45,1026.4,0.02
muonsam,26,0.1243,88.79,1073.5,0.02
muonsam,27,0.1280,89.86,1121.0,0.02
muonsam,28,0.1204,89.89,1168.5,0.02
muonsam,29,0.1192,88.87,1216.1,0.02
muonsam,30,0.1110,90.22,1263.5,0.02
muonsam,31,0.0972,89.22,1310.4,0.02
muonsam,32,0.0886,90.45,1357.9,0.02
muonsam,33,0.0951,90.01,1405.5,0.02
muonsam,34,0.0943,89.45,1453.0,0.02
muonsam,35,0.0810,89.99,1500.4,0.02
muonsam,36,0.0842,89.35,1547.5,0.02
muonsam,37,0.0833,90.70,1595.0,0.02
muonsam,38,0.0705,89.94,1642.4,0.02
muonsam,39,0.0837,90.85,1689.8,0.02
muonsam,40,0.0765,90.62,1737.4,0.02
muonsam,41,0.0735,90.60,1784.4,0.02
muonsam,42,0.0714,90.06,1831.8,0.02
muonsam,43,0.0745,91.75,1879.3,0.02
muonsam,44,0.0642,90.85,1926.9,0.02
muonsam,45,0.0640,90.62,1974.3,0.02
muonsam,46,0.0547,90.96,2021.2,0.02
muonsam,47,0.0747,89.66,2068.7,0.02
muonsam,48,0.0669,91.67,2116.3,0.02
muonsam,49,0.0642,91.24,2163.7,0.02
muonsam,50,0.0574,90.93,2211.1,0.02
adamw,1,1.7174,48.36,32.1,0.001
adamw,2,1.2870,49.91,64.3,0.001
adamw,3,1.1177,63.72,96.6,0.001
adamw,4,1.0167,69.38,128.9,0.001
adamw,5,0.9338,59.62,161.2,0.001
adamw,6,0.8645,70.47,193.5,0.001
adamw,7,0.8186,69.53,225.7,0.001
adamw,8,0.7755,70.62,258.0,0.001
adamw,9,0.7426,70.34,290.1,0.001
adamw,10,0.6920,72.87,322.4,0.001
adamw,11,0.6514,73.04,354.7,0.001
adamw,12,0.6498,64.97,387.0,0.001
adamw,13,0.6049,74.96,419.3,0.001
adamw,14,0.5791,76.15,451.6,0.001
adamw,15,0.5603,78.65,483.9,0.001
adamw,16,0.5274,77.35,516.2,0.001
adamw,17,0.5241,76.28,548.4,0.001
adamw,18,0.4970,80.97,580.6,0.001
adamw,19,0.4693,76.18,612.8,0.001
adamw,20,0.4563,81.40,645.0,0.001
adamw,21,0.4342,78.85,677.2,0.001
adamw,22,0.4105,81.07,709.5,0.001
adamw,23,0.4072,77.83,741.8,0.001
adamw,24,0.4032,79.82,774.2,0.001
adamw,25,0.3911,79.39,806.5,0.001
adamw,26,0.3815,80.69,838.7,0.001
adamw,27,0.3659,76.76,870.9,0.001
adamw,28,0.3486,80.05,903.1,0.001
adamw,29,0.3407,77.83,935.4,0.001
adamw,30,0.3469,80.33,967.8,0.001
adamw,31,0.3397,82.60,1000.1,0.001
adamw,32,0.2940,79.80,1032.4,0.001
adamw,33,0.3140,84.31,1064.7,0.001
adamw,34,0.2939,80.94,1097.0,0.001
adamw,35,0.2841,84.79,1129.2,0.001
adamw,36,0.2938,83.21,1161.5,0.001
adamw,37,0.2671,85.48,1193.8,0.001
adamw,38,0.2522,84.13,1226.2,0.001
adamw,39,0.2472,81.50,1258.5,0.001
adamw,40,0.2531,85.02,1290.7,0.001
adamw,41,0.2405,81.81,1322.9,0.001
adamw,42,0.2310,82.50,1355.0,0.001
adamw,43,0.2246,84.33,1387.3,0.001
adamw,44,0.2208,85.45,1419.5,0.001
adamw,45,0.2166,85.71,1451.8,0.001
adamw,46,0.2010,83.85,1484.1,0.001
adamw,47,0.2150,85.35,1516.3,0.001
adamw,48,0.2129,85.32,1548.5,0.001
adamw,49,0.1935,84.28,1580.7,0.001
