optimizer,epoch,train_loss,test_acc,time_s,lr
adamw,1,1.3355,63.80,42.2,0.0005
adamw,2,0.8695,73.15,85.2,0.0005
adamw,3,0.6793,71.60,133.0,0.0005
adamw,4,0.5822,76.34,180.1,0.0005
adamw,5,0.5131,80.87,228.5,0.0005
adamw,6,0.4520,82.21,275.8,0.0005
adamw,7,0.4106,82.45,323.5,0.0005
adamw,8,0.3755,84.43,371.0,0.0005
adamw,9,0.3463,85.69,418.9,0.0005
adamw,10,0.3143,85.30,466.4,0.0005
adamw,11,0.2855,86.27,514.2,0.0005
adamw,12,0.2695,86.96,561.8,0.0005
adamw,13,0.2532,85.21,609.7,0.0005
adamw,14,0.2379,85.13,657.6,0.0005
adamw,15,0.2186,88.13,705.1,0.0005
adamw,16,0.2044,89.12,752.9,0.0005
adamw,17,0.1914,88.72,800.7,0.0005
adamw,18,0.1783,89.56,848.6,0.0005
adamw,19,0.1664,88.67,896.3,0.0005
adamw,20,0.1582,89.30,944.2,0.0005
muon,1,1.1116,75.07,71.8,0.01
muon,2,0.5725,81.25,143.6,0.01
muon,3,0.4342,83.91,215.5,0.01
muon,4,0.3544,86.11,287.2,0.01
muon,5,0.2975,88.67,359.1,0.01
muon,6,0.2532,88.99,431.0,0.01
muon,7,0.2210,90.01,502.8,0.01
muon,8,0.1957,89.39,574.7,0.01
muon,9,0.1722,90.21,646.4,0.01
muon,10,0.1515,90.65,718.3,0.01
muon,11,0.1360,91.77,790.0,0.01
muon,12,0.1258,90.50,861.9,0.01
muon,13,0.1109,91.42,933.8,0.01
muon,14,0.1014,91.30,1005.6,0.01
muon,15,0.0954,92.06,1077.4,0.01
muon,16,0.0865,91.62,1149.2,0.01
muon,17,0.0818,91.99,1221.1,0.01
muon,18,0.0755,91.91,1292.9,0.01
muon,19,0.0711,90.95,1364.6,0.01
muon,20,0.0696,91.73,1436.5,0.01
muonsam,1,1.0984,73.94,71.8,0.01
muonsam,2,0.5669,81.91,143.7,0.01
muonsam,3,0.4236,84.54,215.4,0.01
muonsam,4,0.3484,85.78,287.3,0.01
muonsam,5,0.2933,88.61,359.1,0.01
muonsam,6,0.2485,89.42,431.0,0.01
muonsam,7,0.2397,89.68,539.2,0.01
muonsam,8,0.2393,89.55,647.8,0.01
muonsam,9,0.2221,91.21,756.2,0.01
muonsam,10,0.1954,90.97,864.9,0.01
muonsam,11,0.1780,91.77,973.3,0.01
muonsam,12,0.1716,92.09,1081.7,0.01
muonsam,13,0.1528,91.91,1190.2,0.01
muonsam,14,0.1456,91.78,1298.7,0.01
muonsam,15,0.1343,92.64,1407.2,0.01
muonsam,16,0.1226,92.16,1515.6,0.01
muonsam,17,0.1159,92.87,1624.1,0.01
muonsam,18,0.1069,93.19,1732.6,0.01
muonsam,19,0.1009,92.84,1841.0,0.01
muonsam,20,0.0957,93.60,1949.5,0.01
