optimizer,epoch,train_loss,test_acc,time_s,lr
adamw,1,1.6236,48.55,42.0,0.004
adamw,2,1.1406,57.25,83.3,0.004
adamw,3,0.9136,65.74,125.3,0.004
adamw,4,0.7598,72.37,167.8,0.004
adamw,5,0.6325,77.91,210.9,0.004
adamw,6,0.5351,80.77,254.1,0.004
adamw,7,0.4651,82.89,297.6,0.004
adamw,8,0.4152,84.30,341.4,0.004
adamw,9,0.3741,85.87,385.2,0.004
adamw,10,0.3372,86.83,428.9,0.004
adamw,11,0.3054,86.09,472.9,0.004
adamw,12,0.2802,86.86,516.7,0.004
adamw,13,0.2570,86.90,560.7,0.004
adamw,14,0.2394,86.89,604.6,0.004
adamw,15,0.2174,88.70,648.7,0.004
adamw,16,0.2006,89.74,692.6,0.004
adamw,17,0.1869,89.38,736.6,0.004
adamw,18,0.1710,90.06,780.6,0.004
adamw,19,0.1574,90.29,824.6,0.004
adamw,20,0.1469,90.23,868.6,0.004
