optimizer,epoch,train_loss,test_acc,time_s,lr
adamw,1,1.3355,63.80,42.2,0.0005
adamw,2,0.8695,73.15,85.2,0.0005
adamw,3,0.6793,71.60,133.0,0.0005
adamw,4,0.5822,76.34,180.1,0.0005
adamw,5,0.5131,80.87,228.5,0.0005
adamw,6,0.4520,82.21,275.8,0.0005
adamw,7,0.4106,82.45,323.5,0.0005
adamw,8,0.3755,84.43,371.0,0.0005
adamw,9,0.3463,85.69,418.9,0.0005
adamw,10,0.3143,85.30,466.4,0.0005
adamw,11,0.2855,86.27,514.2,0.0005
adamw,12,0.2695,86.96,561.8,0.0005
adamw,13,0.2532,85.21,609.7,0.0005
adamw,14,0.2379,85.13,657.6,0.0005
adamw,15,0.2186,88.13,705.1,0.0005
adamw,16,0.2044,89.12,752.9,0.0005
adamw,17,0.1914,88.72,800.7,0.0005
adamw,18,0.1783,89.56,848.6,0.0005
adamw,19,0.1664,88.67,896.3,0.0005
adamw,20,0.1582,89.30,944.2,0.0005
adamw,1,1.3274,60.46,47.8,0.001
adamw,2,0.8720,71.50,95.4,0.001
adamw,3,0.6797,72.22,143.3,0.001
adamw,4,0.5733,78.12,191.0,0.001
adamw,5,0.5033,80.03,238.6,0.001
adamw,6,0.4407,83.95,286.1,0.001
adamw,7,0.4001,84.28,333.6,0.001
adamw,8,0.3648,85.30,381.4,0.001
adamw,9,0.3383,86.08,429.2,0.001
adamw,10,0.3038,87.99,477.1,0.001
adamw,11,0.2829,85.82,524.8,0.001
adamw,12,0.2639,87.68,572.5,0.001
adamw,13,0.2443,87.40,620.1,0.001
adamw,14,0.2279,85.62,667.6,0.001
adamw,15,0.2141,88.80,715.4,0.001
adamw,16,0.1922,89.06,763.1,0.001
adamw,17,0.1890,89.47,811.0,0.001
adamw,18,0.1674,90.32,858.4,0.001
adamw,19,0.1605,90.13,906.1,0.001
adamw,20,0.1500,89.02,953.7,0.001
adamw,1,1.4540,55.56,47.9,0.002
adamw,2,0.9875,65.96,95.6,0.002
adamw,3,0.7694,71.83,143.2,0.002
adamw,4,0.6371,78.02,190.9,0.002
adamw,5,0.5528,81.44,238.6,0.002
adamw,6,0.4785,81.11,286.1,0.002
adamw,7,0.4314,82.88,333.5,0.002
adamw,8,0.3906,84.37,381.3,0.002
adamw,9,0.3546,85.99,428.7,0.002
adamw,10,0.3202,86.62,476.3,0.002
adamw,11,0.2934,86.63,524.1,0.002
adamw,12,0.2739,86.36,571.7,0.002
adamw,13,0.2492,86.81,619.4,0.002
adamw,14,0.2333,85.80,667.0,0.002
adamw,15,0.2119,89.82,714.5,0.002
adamw,16,0.1957,88.38,762.1,0.002
adamw,17,0.1836,89.25,809.5,0.002
adamw,18,0.1688,90.62,857.1,0.002
adamw,19,0.1580,90.36,904.4,0.002
adamw,20,0.1469,91.24,952.1,0.002
adamw,1,1.6236,48.55,42.0,0.004
adamw,2,1.1406,57.25,83.3,0.004
adamw,3,0.9136,65.74,125.3,0.004
adamw,4,0.7598,72.37,167.8,0.004
adamw,5,0.6325,77.91,210.9,0.004
adamw,6,0.5351,80.77,254.1,0.004
adamw,7,0.4651,82.89,297.6,0.004
adamw,8,0.4152,84.30,341.4,0.004
adamw,9,0.3741,85.87,385.2,0.004
adamw,10,0.3372,86.83,428.9,0.004
adamw,11,0.3054,86.09,472.9,0.004
adamw,12,0.2802,86.86,516.7,0.004
adamw,13,0.2570,86.90,560.7,0.004
adamw,14,0.2394,86.89,604.6,0.004
adamw,15,0.2174,88.70,648.7,0.004
adamw,16,0.2006,89.74,692.6,0.004
adamw,17,0.1869,89.38,736.6,0.004
adamw,18,0.1710,90.06,780.6,0.004
adamw,19,0.1574,90.29,824.6,0.004
adamw,20,0.1469,90.23,868.6,0.004
adamw,1,1.7447,41.80,43.9,0.008
adamw,2,1.2379,57.36,88.0,0.008
adamw,3,0.9726,66.40,132.1,0.008
adamw,4,0.8093,69.34,176.1,0.008
adamw,5,0.6779,75.86,220.2,0.008
adamw,6,0.5749,79.28,264.1,0.008
adamw,7,0.5012,81.19,308.1,0.008
adamw,8,0.4469,83.34,352.1,0.008
adamw,9,0.4013,83.99,396.0,0.008
adamw,10,0.3621,85.65,439.9,0.008
adamw,11,0.3302,85.77,483.9,0.008
adamw,12,0.3059,86.73,527.7,0.008
adamw,13,0.2827,85.47,571.6,0.008
adamw,14,0.2615,87.33,615.6,0.008
adamw,15,0.2411,88.35,659.9,0.008
adamw,16,0.2239,88.54,704.1,0.008
adamw,17,0.2070,87.38,748.4,0.008
adamw,18,0.1925,89.35,792.7,0.008
adamw,19,0.1815,88.78,837.0,0.008
adamw,20,0.1734,89.28,881.2,0.008
