optimizer,epoch,train_loss,test_acc,time_s
muonsam,1,1.0523,76.16,66.4
muonsam,2,0.5513,81.20,141.7
muonsam,3,0.4158,85.75,217.1
muonsam,4,0.3446,85.69,292.6
muonsam,5,0.2922,88.10,368.1
muonsam,6,0.2493,88.90,443.7
muonsam,7,0.2188,89.77,519.2
muonsam,8,0.1932,89.44,594.9
muonsam,9,0.1727,89.65,670.4
muonsam,10,0.1475,91.09,746.0
muonsam,11,0.1371,90.68,821.6
muonsam,12,0.1248,91.40,897.1
muonsam,13,0.1096,90.65,972.6
muonsam,14,0.1043,91.20,1047.9
muonsam,15,0.0958,92.15,1123.5
muonsam,16,0.0852,92.17,1236.9
muonsam,17,0.0917,92.28,1350.2
muonsam,18,0.0872,92.78,1463.6
muonsam,19,0.0761,93.05,1577.2
muonsam,20,0.0728,92.88,1690.8
muonsam,21,0.0685,92.17,1804.2
muonsam,22,0.0673,92.82,1917.4
muonsam,23,0.0607,92.69,2030.8
muonsam,24,0.0577,93.37,2144.3
muonsam,25,0.0583,92.96,2257.9
muonsam,26,0.0501,92.75,2371.4
muonsam,27,0.0512,93.20,2484.7
muonsam,28,0.0491,93.19,2598.1
muonsam,29,0.0462,92.91,2711.2
muonsam,30,0.0457,93.09,2824.5
muonsam,31,0.0426,93.23,2937.9
muonsam,32,0.0419,93.48,3051.4
muonsam,33,0.0405,92.93,3164.7
muonsam,34,0.0406,93.37,3277.7
muonsam,35,0.0373,93.28,3391.1
muonsam,36,0.0353,93.62,3504.2
muonsam,37,0.0366,93.28,3617.2
muonsam,38,0.0339,93.36,3730.2
muonsam,39,0.0345,93.62,3843.0
muonsam,40,0.0334,93.59,3956.2
muonsam,41,0.0317,93.84,4069.1
muonsam,42,0.0313,93.23,4182.0
muonsam,43,0.0298,93.77,4294.7
muonsam,44,0.0294,93.90,4407.6
muonsam,45,0.0272,93.66,4520.4
muonsam,46,0.0273,94.02,4633.1
muonsam,47,0.0276,93.98,4745.7
muonsam,48,0.0258,94.04,4858.3
muonsam,49,0.0246,93.79,4970.8
muonsam,50,0.0255,94.12,5083.3
muonsam_gsam,1,1.0484,74.36,75.6
muonsam_gsam,2,0.5502,81.07,151.3
muonsam_gsam,3,0.4158,84.21,227.0
muonsam_gsam,4,0.3464,86.60,302.9
muonsam_gsam,5,0.2868,88.82,378.7
muonsam_gsam,6,0.2452,89.49,454.5
muonsam_gsam,7,0.2159,89.91,530.2
muonsam_gsam,8,0.1914,90.02,605.9
muonsam_gsam,9,0.1720,89.77,681.6
muonsam_gsam,10,0.1487,91.12,757.3
muonsam_gsam,11,0.1355,90.96,833.1
muonsam_gsam,12,0.1229,90.83,908.8
muonsam_gsam,13,0.1101,90.75,984.5
muonsam_gsam,14,0.1056,90.98,1060.1
muonsam_gsam,15,0.0954,91.80,1135.7
muonsam_gsam,16,0.0907,92.39,1253.5
muonsam_gsam,17,0.1009,92.83,1371.9
muonsam_gsam,18,0.0998,92.37,1490.2
muonsam_gsam,19,0.0929,92.78,1608.3
muonsam_gsam,20,0.0873,93.00,1726.8
muonsam_gsam,21,0.0834,92.36,1845.0
muonsam_gsam,22,0.0880,92.75,1963.3
muonsam_gsam,23,0.0802,93.20,2081.7
muonsam_gsam,24,0.0774,93.30,2199.9
muonsam_gsam,25,0.0737,93.31,2318.5
muonsam_gsam,26,0.0689,93.07,2436.8
muonsam_gsam,27,0.0687,93.15,2555.2
muonsam_gsam,28,0.0704,93.45,2673.4
muonsam_gsam,29,0.0680,93.45,2791.7
muonsam_gsam,30,0.0671,93.19,2910.1
muonsam_gsam,31,0.0658,93.50,3028.2
muonsam_gsam,32,0.0599,93.42,3146.3
muonsam_gsam,33,0.0603,93.28,3264.5
muonsam_gsam,34,0.0603,93.36,3382.3
muonsam_gsam,35,0.0576,93.80,3500.4
muonsam_gsam,36,0.0606,93.62,3618.2
muonsam_gsam,37,0.0583,93.59,3735.7
