optimizer,epoch,train_loss,test_acc,time_s
muonsam_nomom,1,1.1948,68.93,65.0
muonsam_nomom,2,0.6545,78.20,131.5
muonsam_nomom,3,0.4906,80.89,198.8
muonsam_nomom,4,0.3982,84.64,266.4
muonsam_nomom,5,0.3390,87.02,333.9
muonsam_nomom,6,0.2949,86.56,401.6
muonsam_nomom,7,0.2618,87.92,469.2
muonsam_nomom,8,0.2348,88.10,536.8
muonsam_nomom,9,0.2096,89.07,604.4
muonsam_nomom,10,0.1867,89.84,671.9
muonsam_nomom,11,0.1699,89.87,739.6
muonsam_nomom,12,0.1616,89.16,807.1
muonsam_nomom,13,0.1481,89.22,874.6
muonsam_nomom,14,0.1360,89.86,942.2
muonsam_nomom,15,0.1249,89.85,1009.8
muonsam_nomom,16,0.1416,90.13,1108.2
muonsam_nomom,17,0.1668,89.85,1206.5
muonsam_nomom,18,0.1719,90.74,1305.0
muonsam_nomom,19,0.1691,90.50,1403.5
muonsam_nomom,20,0.1742,91.21,1501.9
muonsam_nomom,21,0.1692,91.25,1600.2
muonsam_nomom,22,0.1742,91.72,1698.5
muonsam_nomom,23,0.1640,91.12,1797.0
muonsam_nomom,24,0.1618,91.49,1895.3
muonsam_nomom,25,0.1564,91.12,1993.5
muonsam_nomom,26,0.1539,91.99,2091.7
muonsam_nomom,27,0.1478,91.65,2189.7
muonsam_nomom,28,0.1446,91.49,2287.7
muonsam_nomom,29,0.1400,92.58,2385.8
muonsam_nomom,30,0.1411,92.63,2483.9
muonsam_nomom,31,0.1380,92.03,2581.8
muonsam_nomom,32,0.1315,92.68,2679.7
muonsam_nomom,33,0.1282,92.42,2777.6
muonsam_nomom,34,0.1257,92.48,2875.5
muonsam_nomom,35,0.1213,92.41,2973.4
muonsam_nomom,36,0.1204,92.32,3071.2
muonsam_nomom,37,0.1191,92.89,3169.1
muonsam_nomom,38,0.1162,92.90,3267.0
muonsam_nomom,39,0.1124,92.77,3364.9
muonsam_nomom,40,0.1081,92.97,3462.9
muonsam_nomom,41,0.1026,92.79,3560.7
muonsam_nomom,42,0.1058,92.81,3658.5
muonsam_nomom,43,0.1028,92.83,3756.2
muonsam_nomom,44,0.0972,92.78,3853.9
muonsam_nomom,45,0.0955,93.07,3951.7
muonsam_nomom,46,0.0903,92.84,4049.4
muonsam_nomom,47,0.0915,93.08,4147.2
muonsam_nomom,48,0.0915,92.88,4244.9
muonsam_nomom,49,0.0861,93.16,4342.7
muonsam_nomom,50,0.0838,93.11,4440.5
