# CIFAR-10 / ResNet-18 benchmark, Tesla T4 x2 (Kaggle), 2026-07-31
# device=cuda | QUICK=False | epochs=50 | seed=0 | torch 2.10.0+cu128
# momentum_mode="none" -- the 2026-06-21 prototype, run to completion.
# Reconstructed from the notebook console log; the Kaggle session output was lost
# before it could be downloaded. Values are exact (the log prints full precision).
# NOT time-comparable with the Colab runs: this host is ~4% slower per epoch.
optimizer,epoch,train_loss,test_acc,time_s
muonsam_nomom,1,1.1780,70.41,66.8
muonsam_nomom,2,0.6412,79.35,139.4
muonsam_nomom,3,0.4884,80.98,212.4
muonsam_nomom,4,0.3984,85.87,285.3
muonsam_nomom,5,0.3429,85.13,358.3
muonsam_nomom,6,0.2972,86.37,431.4
muonsam_nomom,7,0.2638,88.38,504.2
muonsam_nomom,8,0.2381,88.64,577.4
muonsam_nomom,9,0.2153,88.60,650.2
muonsam_nomom,10,0.1905,89.76,723.2
muonsam_nomom,11,0.1724,89.96,796.3
muonsam_nomom,12,0.1628,89.65,869.2
muonsam_nomom,13,0.1480,88.32,942.0
muonsam_nomom,14,0.1347,90.10,1014.8
muonsam_nomom,15,0.1242,90.35,1087.7
muonsam_nomom,16,0.1459,90.27,1193.4
muonsam_nomom,17,0.1707,90.41,1299.1
muonsam_nomom,18,0.1706,90.93,1405.0
muonsam_nomom,19,0.1712,90.46,1510.8
muonsam_nomom,20,0.1691,91.37,1616.5
muonsam_nomom,21,0.1730,90.92,1722.2
muonsam_nomom,22,0.1782,91.67,1827.8
muonsam_nomom,23,0.1696,90.25,1933.5
muonsam_nomom,24,0.1592,91.34,2039.1
muonsam_nomom,25,0.1587,91.73,2144.6
muonsam_nomom,26,0.1558,91.61,2249.8
muonsam_nomom,27,0.1515,91.72,2355.1
muonsam_nomom,28,0.1459,91.95,2460.2
muonsam_nomom,29,0.1429,92.24,2565.5
muonsam_nomom,30,0.1456,91.96,2670.7
muonsam_nomom,31,0.1393,92.29,2776.0
muonsam_nomom,32,0.1366,91.92,2880.8
muonsam_nomom,33,0.1285,92.35,2985.8
muonsam_nomom,34,0.1266,92.28,3090.9
muonsam_nomom,35,0.1243,92.53,3196.0
muonsam_nomom,36,0.1225,92.43,3301.1
muonsam_nomom,37,0.1206,92.79,3406.0
muonsam_nomom,38,0.1149,92.77,3510.8
muonsam_nomom,39,0.1124,92.79,3615.8
muonsam_nomom,40,0.1097,92.78,3720.7
muonsam_nomom,41,0.1074,92.59,3825.7
muonsam_nomom,42,0.1053,92.94,3930.6
muonsam_nomom,43,0.1036,92.11,4035.4
muonsam_nomom,44,0.0983,93.19,4140.2
muonsam_nomom,45,0.0941,93.14,4245.3
muonsam_nomom,46,0.0947,93.28,4350.0
muonsam_nomom,47,0.0929,92.93,4455.0
muonsam_nomom,48,0.0931,92.96,4559.9
muonsam_nomom,49,0.0870,93.18,4664.6
muonsam_nomom,50,0.0877,93.21,4769.4
