# dataset=cifar100 epochs=50 seed=1 batch=128 wd=0.0005 rho_max=0.05 rho_aux=0.01 torch=2.10.0+cu128
optimizer,epoch,train_loss,test_acc,time_s,lr
muon,1,3.0859,39.16,66.2,0.02
muon,2,1.8878,52.09,141.4,0.02
muon,3,1.4652,57.42,216.1,0.02
muon,4,1.2209,61.96,291.5,0.02
muon,5,1.0284,62.97,366.8,0.02
muon,6,0.8875,65.38,442.1,0.02
muon,7,0.7612,67.13,517.5,0.02
muon,8,0.6595,68.02,592.7,0.02
muon,9,0.5670,67.27,667.8,0.02
muon,10,0.4857,68.62,743.1,0.02
muon,11,0.4207,68.80,818.6,0.02
muon,12,0.3713,69.10,893.9,0.02
muon,13,0.3249,69.37,969.2,0.02
muon,14,0.3003,69.15,1044.4,0.02
muon,15,0.2665,69.45,1119.9,0.02
muon,16,0.2399,69.19,1195.2,0.02
muon,17,0.2206,70.20,1270.5,0.02
muon,18,0.2009,69.59,1345.8,0.02
muon,19,0.1853,69.80,1420.9,0.02
muon,20,0.1765,69.76,1496.1,0.02
muon,21,0.1706,70.60,1571.4,0.02
muon,22,0.1552,70.53,1646.7,0.02
muon,23,0.1487,70.88,1721.9,0.02
muon,24,0.1386,70.74,1797.2,0.02
muon,25,0.1325,70.71,1872.5,0.02
muon,26,0.1237,70.48,1947.6,0.02
muon,27,0.1193,70.23,2023.0,0.02
muon,28,0.1156,71.35,2098.3,0.02
muon,29,0.1105,70.54,2173.5,0.02
muon,30,0.1068,70.67,2248.8,0.02
muon,31,0.1031,70.17,2324.1,0.02
muon,32,0.0970,70.74,2399.4,0.02
muon,33,0.0974,70.23,2474.8,0.02
muon,34,0.0915,70.43,2550.0,0.02
muon,35,0.0890,70.58,2625.1,0.02
muon,36,0.0896,71.12,2700.4,0.02
muon,37,0.0864,70.83,2775.6,0.02
muon,38,0.0820,70.64,2850.7,0.02
muon,39,0.0819,70.50,2926.1,0.02
muon,40,0.0760,70.85,3001.3,0.02
muon,41,0.0788,70.35,3076.3,0.02
muon,42,0.0743,70.23,3151.8,0.02
muon,43,0.0728,70.76,3226.9,0.02
muon,44,0.0716,70.62,3302.1,0.02
muon,45,0.0690,70.60,3377.3,0.02
muon,46,0.0682,70.53,3452.6,0.02
muon,47,0.0667,70.86,3528.0,0.02
muon,48,0.0646,70.43,3603.4,0.02
muon,49,0.0646,70.48,3678.9,0.02
muon,50,0.0638,70.58,3754.4,0.02
muonsam,1,3.0881,40.39,75.0,0.02
muonsam,2,1.8976,50.95,150.2,0.02
