# CIFAR-10 / ResNet-18 benchmark, Tesla T4 (Colab), 2026-06-21
# device=cuda | QUICK=False | epochs=50 | seed=0 | train_subset=None | test_subset=None
# Source: benchmark_cifar10.py at commit a51be2d (2026-05-27), transcribed from the Colab log.
# NOTE: "muonsam" here == momentum_mode="none" -- the prototype built before Muon momentum
#       was reintroduced, i.e. what later releases call "muonsam_nomom".
# time_s is cumulative wall-clock within each optimizer's run.
optimizer,epoch,train_loss,test_acc,time_s
adamw,1,1.3272,58.44,44.1
adamw,2,0.8591,69.77,88.1
adamw,3,0.6719,71.95,134.9
adamw,4,0.5694,77.52,180.2
adamw,5,0.5001,82.02,226.3
adamw,6,0.4364,83.01,272.8
adamw,7,0.3933,85.56,318.8
adamw,8,0.3603,84.51,365.4
adamw,9,0.3312,87.01,411.5
adamw,10,0.3011,87.43,457.6
adamw,11,0.2778,87.03,504.1
adamw,12,0.2557,88.20,550.2
adamw,13,0.2426,86.46,597.0
adamw,14,0.2262,87.45,643.0
adamw,15,0.2084,89.32,689.0
adamw,16,0.1902,89.05,735.2
adamw,17,0.1806,87.32,781.2
adamw,18,0.1688,89.76,827.9
adamw,19,0.1569,89.71,873.7
adamw,20,0.1443,89.87,920.2
adamw,21,0.1395,89.97,966.1
adamw,22,0.1298,90.25,1012.2
adamw,23,0.1191,89.93,1058.4
adamw,24,0.1156,89.70,1104.6
adamw,25,0.1046,90.74,1151.3
adamw,26,0.1011,90.06,1197.2
adamw,27,0.0945,91.41,1243.1
adamw,28,0.0927,90.21,1288.9
adamw,29,0.0828,91.07,1334.9
adamw,30,0.0844,90.90,1381.7
adamw,31,0.0734,90.76,1427.6
adamw,32,0.0716,91.16,1473.6
adamw,33,0.0718,90.89,1519.6
adamw,34,0.0680,91.09,1565.6
adamw,35,0.0625,90.73,1612.4
adamw,36,0.0634,91.27,1658.3
adamw,37,0.0612,90.75,1704.8
adamw,38,0.0578,91.58,1750.9
adamw,39,0.0559,91.70,1796.9
adamw,40,0.0541,91.69,1843.0
adamw,41,0.0508,91.56,1889.0
adamw,42,0.0486,90.41,1935.9
adamw,43,0.0504,91.24,1981.8
adamw,44,0.0438,91.77,2027.9
adamw,45,0.0451,91.54,2073.8
adamw,46,0.0450,91.72,2119.8
adamw,47,0.0410,91.29,2166.3
adamw,48,0.0386,91.85,2212.4
adamw,49,0.0422,91.58,2258.9
adamw,50,0.0392,91.71,2304.8
sam,1,1.9001,43.73,87.2
sam,2,1.3343,57.89,174.5
sam,3,1.0294,65.42,261.7
sam,4,0.8292,72.20,349.0
sam,5,0.6877,75.36,436.4
sam,6,0.5932,81.67,523.7
sam,7,0.5234,80.54,611.1
sam,8,0.4795,82.99,698.3
sam,9,0.4391,83.81,785.4
sam,10,0.4048,84.24,872.9
sam,11,0.3770,85.52,960.8
sam,12,0.3560,86.35,1048.8
sam,13,0.3362,86.19,1136.8
sam,14,0.3216,84.96,1224.9
sam,15,0.3072,87.60,1313.0
sam,16,0.2955,87.73,1401.2
sam,17,0.2896,86.05,1489.3
sam,18,0.2748,87.57,1577.4
sam,19,0.2669,87.46,1665.2
sam,20,0.2611,87.73,1752.8
sam,21,0.2600,89.05,1840.1
sam,22,0.2522,89.13,1927.4
sam,23,0.2414,85.79,2014.6
sam,24,0.2388,87.85,2101.8
sam,25,0.2284,89.71,2188.6
sam,26,0.2266,88.60,2275.3
sam,27,0.2257,87.90,2362.2
sam,28,0.2197,88.54,2449.3
sam,29,0.2141,90.49,2536.8
sam,30,0.2116,89.73,2624.5
sam,31,0.2089,89.14,2712.1
sam,32,0.2078,88.55,2800.1
sam,33,0.2044,87.15,2888.1
sam,34,0.1968,89.99,2975.8
sam,35,0.1951,89.15,3063.4
sam,36,0.1912,90.06,3150.6
sam,37,0.1949,89.90,3237.9
sam,38,0.1893,89.55,3325.1
sam,39,0.1878,87.72,3412.2
sam,40,0.1868,91.38,3498.9
sam,41,0.1816,89.12,3585.7
sam,42,0.1851,88.81,3672.8
sam,43,0.1806,89.21,3760.0
sam,44,0.1789,89.20,3847.5
sam,45,0.1734,90.17,3935.2
sam,46,0.1760,90.32,4023.3
sam,47,0.1721,90.47,4111.2
sam,48,0.1800,90.92,4198.6
sam,49,0.1712,90.66,4285.7
sam,50,0.1697,90.17,4372.9
muon,1,1.0544,73.18,70.3
muon,2,0.5537,80.48,140.3
muon,3,0.4223,84.92,210.5
muon,4,0.3496,86.28,280.7
muon,5,0.2900,88.56,350.9
muon,6,0.2485,89.87,421.5
muon,7,0.2214,89.78,491.6
muon,8,0.1927,89.02,562.6
muon,9,0.1706,89.94,632.7
muon,10,0.1476,90.50,703.2
muon,11,0.1380,91.41,773.2
muon,12,0.1239,90.75,843.3
muon,13,0.1071,90.10,913.3
muon,14,0.1033,90.93,983.2
muon,15,0.0967,91.32,1053.3
muon,16,0.0856,90.65,1123.4
muon,17,0.0824,91.73,1193.4
muon,18,0.0780,91.75,1263.4
muon,19,0.0707,92.45,1333.5
muon,20,0.0676,92.25,1403.5
muon,21,0.0657,92.02,1473.8
muon,22,0.0622,92.04,1543.8
muon,23,0.0587,92.26,1614.4
muon,24,0.0536,92.20,1684.5
muon,25,0.0525,91.87,1755.5
muon,26,0.0497,92.30,1825.5
muon,27,0.0478,92.11,1896.5
muon,28,0.0457,91.99,1966.4
muon,29,0.0441,92.29,2037.0
muon,30,0.0441,91.86,2106.9
muon,31,0.0410,92.57,2177.1
muon,32,0.0405,92.71,2246.9
muon,33,0.0402,92.59,2317.1
muon,34,0.0378,92.63,2387.0
muon,35,0.0374,93.08,2456.9
muon,36,0.0364,93.01,2526.7
muon,37,0.0348,93.12,2596.6
muon,38,0.0348,92.79,2666.6
muon,39,0.0313,92.80,2736.5
muon,40,0.0328,92.83,2806.7
muon,41,0.0316,92.19,2876.7
muon,42,0.0310,93.19,2946.8
muon,43,0.0297,92.89,3016.8
muon,44,0.0308,92.73,3087.0
muon,45,0.0253,92.81,3157.1
muon,46,0.0278,92.83,3227.8
muon,47,0.0282,92.74,3297.7
muon,48,0.0262,92.90,3368.4
muon,49,0.0266,92.83,3438.4
muon,50,0.0261,93.17,3509.4
muonsam,1,1.1777,68.85,69.6
muonsam,2,0.6371,77.02,139.9
muonsam,3,0.4860,83.01,209.3
muonsam,4,0.3960,85.47,279.8
muonsam,5,0.3394,86.65,349.2
muonsam,6,0.2946,86.34,419.3
muonsam,7,0.2589,87.46,488.9
muonsam,8,0.2331,88.18,559.4
muonsam,9,0.2101,89.47,629.0
muonsam,10,0.1885,89.25,699.3
muonsam,11,0.1707,89.75,768.9
muonsam,12,0.1600,90.09,840.1
muonsam,13,0.1437,89.31,909.8
muonsam,14,0.1364,89.62,980.2
