# CIFAR-10 / ResNet-18 benchmark, Tesla T4 (Colab), 2026-07-29
# device=cuda | QUICK=False | epochs=50 | seed=0 | torch 2.11.0+cu128
# First run with momentum_mode="pre_ns5" (Approach A). "muonsam" = pre_ns5;
# "muonsam_nomom" = momentum_mode="none", the 2026-06-21 prototype.
# All three share one session, so their time_s axes are directly comparable.
# muonsam_nomom stopped at epoch 41/50 -- the Colab GPU backend was withdrawn.
optimizer,epoch,train_loss,test_acc,time_s
muonsam,1,1.0431,74.36,64.3
muonsam,2,0.5488,81.78,129.0
muonsam,3,0.4176,84.79,195.6
muonsam,4,0.3435,85.92,263.0
muonsam,5,0.2880,88.40,330.3
muonsam,6,0.2487,89.39,398.3
muonsam,7,0.2159,89.31,466.1
muonsam,8,0.1910,89.14,533.4
muonsam,9,0.1688,90.54,600.7
muonsam,10,0.1483,91.78,668.0
muonsam,11,0.1325,91.16,735.6
muonsam,12,0.1235,91.41,803.6
muonsam,13,0.1107,91.25,870.9
muonsam,14,0.1036,91.39,938.1
muonsam,15,0.0957,91.64,1005.4
muonsam,16,0.0868,92.26,1107.7
muonsam,17,0.0891,92.29,1209.9
muonsam,18,0.0832,92.80,1312.1
muonsam,19,0.0767,92.19,1414.4
muonsam,20,0.0706,92.69,1516.8
muonsam,21,0.0688,93.07,1619.1
muonsam,22,0.0655,93.04,1721.5
muonsam,23,0.0597,92.92,1823.7
muonsam,24,0.0584,93.17,1926.2
muonsam,25,0.0544,93.50,2028.7
muonsam,26,0.0516,93.46,2130.9
muonsam,27,0.0515,93.29,2233.2
muonsam,28,0.0501,93.25,2335.3
muonsam,29,0.0477,93.36,2437.7
muonsam,30,0.0451,92.73,2541.1
muonsam,31,0.0449,93.53,2643.6
muonsam,32,0.0414,93.52,2746.0
muonsam,33,0.0397,93.53,2848.2
muonsam,34,0.0389,93.11,2950.3
muonsam,35,0.0378,93.68,3052.7
muonsam,36,0.0366,93.70,3155.4
muonsam,37,0.0350,93.52,3258.4
muonsam,38,0.0347,93.87,3360.5
muonsam,39,0.0334,93.92,3462.7
muonsam,40,0.0328,93.97,3564.9
muonsam,41,0.0320,94.03,3666.9
muonsam,42,0.0322,93.92,3768.7
muonsam,43,0.0299,93.89,3871.0
muonsam,44,0.0287,93.73,3973.8
muonsam,45,0.0287,94.08,4075.7
muonsam,46,0.0251,94.01,4177.6
muonsam,47,0.0255,94.05,4279.3
muonsam,48,0.0270,94.14,4380.9
muonsam,49,0.0257,94.23,4482.5
muonsam,50,0.0247,93.80,4584.4
muon,1,1.0466,73.93,67.3
muon,2,0.5481,83.12,134.3
muon,3,0.4164,83.28,201.6
muon,4,0.3414,86.32,269.1
muon,5,0.2908,88.36,336.3
muon,6,0.2467,89.86,403.8
muon,7,0.2177,88.59,471.4
muon,8,0.1907,89.55,538.5
muon,9,0.1692,89.99,605.7
muon,10,0.1486,91.06,673.5
muon,11,0.1357,90.86,740.6
muon,12,0.1226,91.26,807.7
muon,13,0.1096,91.10,875.6
muon,14,0.1024,91.57,942.8
muon,15,0.0978,91.63,1010.0
muon,16,0.0863,91.83,1077.9
muon,17,0.0838,92.02,1145.0
muon,18,0.0741,91.65,1212.1
muon,19,0.0700,92.32,1279.9
muon,20,0.0695,91.93,1347.0
muon,21,0.0667,92.36,1414.1
muon,22,0.0641,92.43,1482.0
muon,23,0.0574,92.61,1549.1
muon,24,0.0521,92.23,1616.3
muon,25,0.0515,92.24,1684.4
muon,26,0.0484,92.64,1751.5
muon,27,0.0475,92.51,1818.6
muon,28,0.0480,92.69,1886.3
muon,29,0.0447,92.32,1953.4
muon,30,0.0430,92.56,2020.9
muon,31,0.0428,92.41,2088.0
muon,32,0.0417,92.51,2155.9
muon,33,0.0400,92.37,2223.1
muon,34,0.0390,92.65,2290.3
muon,35,0.0352,92.76,2357.9
muon,36,0.0376,92.31,2425.2
muon,37,0.0337,92.20,2492.2
muon,38,0.0338,92.54,2560.0
muon,39,0.0325,93.07,2627.1
muon,40,0.0316,92.88,2694.5
muon,41,0.0301,93.16,2762.4
muon,42,0.0326,93.17,2829.8
muon,43,0.0279,92.73,2896.8
muon,44,0.0281,93.09,2964.9
muon,45,0.0280,92.70,3032.0
muon,46,0.0266,93.00,3099.1
muon,47,0.0298,92.52,3167.2
muon,48,0.0281,92.22,3234.4
muon,49,0.0255,92.81,3301.5
muon,50,0.0249,92.98,3369.4
muonsam_nomom,1,1.1822,69.82,66.7
muonsam_nomom,2,0.6464,80.38,133.1
muonsam_nomom,3,0.4867,80.57,199.9
muonsam_nomom,4,0.3935,85.62,267.4
muonsam_nomom,5,0.3363,86.93,334.0
muonsam_nomom,6,0.2949,85.91,400.7
muonsam_nomom,7,0.2588,89.07,467.8
muonsam_nomom,8,0.2360,88.04,534.8
muonsam_nomom,9,0.2123,89.10,601.5
muonsam_nomom,10,0.1864,89.85,668.1
muonsam_nomom,11,0.1727,89.58,735.8
muonsam_nomom,12,0.1580,90.12,802.5
muonsam_nomom,13,0.1449,89.42,869.2
muonsam_nomom,14,0.1354,90.57,935.6
muonsam_nomom,15,0.1218,90.87,1003.0
muonsam_nomom,16,0.1413,90.87,1100.5
muonsam_nomom,17,0.1639,90.29,1198.0
muonsam_nomom,18,0.1687,90.65,1295.3
