# dataset=imagenette px=64 epochs=50 seed=0 batch=128 wd=0.0005 rho_max=0.05 rho_aux=0.01 torch=2.10.0+cu128
optimizer,epoch,train_loss,test_acc,time_s,lr
muon,1,1.4160,50.55,38.0,0.02
muon,2,0.9110,71.36,79.5,0.02
muon,3,0.7350,75.90,123.1,0.02
muon,4,0.5989,78.11,165.0,0.02
muon,5,0.5179,80.99,208.1,0.02
muon,6,0.4579,82.29,250.1,0.02
muon,7,0.4164,83.18,292.9,0.02
muon,8,0.3727,85.15,335.1,0.02
muon,9,0.3181,84.48,377.6,0.02
muon,10,0.2971,84.31,420.2,0.02
muon,11,0.2697,85.81,462.4,0.02
muon,12,0.2467,84.33,504.9,0.02
muon,13,0.2271,87.08,547.7,0.02
muon,14,0.1974,85.55,590.2,0.02
muon,15,0.1920,85.25,632.6,0.02
muon,16,0.1860,87.54,675.3,0.02
muon,17,0.1700,87.85,718.1,0.02
muon,18,0.1529,85.38,760.3,0.02
muon,19,0.1511,86.75,803.0,0.02
muon,20,0.1437,88.20,845.8,0.02
muon,21,0.1252,88.10,887.9,0.02
muon,22,0.1259,86.37,930.6,0.02
muon,23,0.1215,87.77,972.9,0.02
muon,24,0.1186,87.64,1015.4,0.02
muon,25,0.1155,87.46,1058.2,0.02
muon,26,0.1008,87.13,1100.4,0.02
muon,27,0.0921,86.24,1143.2,0.02
muon,28,0.0986,86.29,1185.3,0.02
muon,29,0.0985,89.17,1228.1,0.02
muon,30,0.0995,88.61,1270.3,0.02
muon,31,0.0951,88.31,1313.0,0.02
muon,32,0.0784,89.53,1355.3,0.02
muon,33,0.0822,88.54,1398.0,0.02
muon,34,0.0915,87.85,1440.4,0.02
muon,35,0.0769,87.95,1483.1,0.02
muon,36,0.0795,86.78,1525.6,0.02
muon,37,0.0745,88.48,1568.2,0.02
muon,38,0.0728,88.71,1610.7,0.02
muon,39,0.0725,89.91,1653.0,0.02
muon,40,0.0637,88.10,1695.3,0.02
muon,41,0.0702,89.78,1737.6,0.02
muon,42,0.0635,88.79,1780.3,0.02
muon,43,0.0578,89.10,1823.1,0.02
muon,44,0.0567,88.03,1865.2,0.02
muon,45,0.0635,87.85,1908.1,0.02
muon,46,0.0584,89.35,1950.3,0.02
muon,47,0.0578,89.96,1993.0,0.02
muon,48,0.0540,89.68,2035.4,0.02
muon,49,0.0519,89.07,2078.0,0.02
muon,50,0.0592,89.48,2120.2,0.02
muonsam,1,1.4213,54.73,42.5,0.02
muonsam,2,0.9188,69.02,84.6,0.02
muonsam,3,0.7325,76.94,127.2,0.02
muonsam,4,0.6025,77.04,169.4,0.02
muonsam,5,0.5146,82.88,211.9,0.02
muonsam,6,0.4537,81.30,254.6,0.02
muonsam,7,0.4177,82.93,297.2,0.02
muonsam,8,0.3797,84.99,339.4,0.02
muonsam,9,0.3195,85.50,381.6,0.02
muonsam,10,0.2925,85.27,424.3,0.02
muonsam,11,0.2674,86.32,466.8,0.02
muonsam,12,0.2451,85.45,509.3,0.02
muonsam,13,0.2202,87.41,552.0,0.02
muonsam,14,0.2065,86.22,594.5,0.02
muonsam,15,0.1894,86.32,637.0,0.02
muonsam,16,0.1847,86.19,690.8,0.02
muonsam,17,0.1728,87.77,745.5,0.02
muonsam,18,0.1682,88.54,800.1,0.02
muonsam,19,0.1941,89.25,854.7,0.02
muonsam,20,0.2049,89.27,909.3,0.02
muonsam,21,0.1804,88.46,963.4,0.02
muonsam,22,0.1750,89.94,1018.1,0.02
muonsam,23,0.1534,89.15,1072.7,0.02
muonsam,24,0.1532,89.68,1127.4,0.02
muonsam,25,0.1294,90.24,1182.1,0.02
muonsam,26,0.1188,90.01,1236.0,0.02
muonsam,27,0.1213,88.79,1290.4,0.02
muonsam,28,0.1214,88.79,1345.1,0.02
muonsam,29,0.1114,90.32,1399.8,0.02
muonsam,30,0.1166,89.27,1454.5,0.02
muonsam,31,0.1044,89.04,1508.5,0.02
muonsam,32,0.1032,88.87,1562.9,0.02
muonsam,33,0.0976,90.22,1617.5,0.02
muonsam,34,0.1003,90.78,1672.2,0.02
muonsam,35,0.0875,88.82,1726.9,0.02
muonsam,36,0.0910,89.81,1781.2,0.02
muonsam,37,0.0830,90.24,1836.0,0.02
muonsam,38,0.0802,90.55,1890.7,0.02
muonsam,39,0.0837,89.91,1945.4,0.02
muonsam,40,0.0778,91.03,2000.1,0.02
muonsam,41,0.0796,90.88,2054.4,0.02
muonsam,42,0.0724,89.53,2109.1,0.02
muonsam,43,0.0700,89.30,2163.7,0.02
muonsam,44,0.0616,90.57,2218.2,0.02
muonsam,45,0.0687,90.29,2272.8,0.02
muonsam,46,0.0627,90.45,2326.9,0.02
muonsam,47,0.0639,90.65,2381.4,0.02
muonsam,48,0.0594,90.34,2435.6,0.02
muonsam,49,0.0611,90.57,2489.8,0.02
muonsam,50,0.0641,90.55,2544.3,0.02
adamw,1,1.6726,47.85,37.5,0.001
adamw,2,1.2696,49.35,75.2,0.001
adamw,3,1.1016,56.25,112.9,0.001
adamw,4,0.9735,58.73,150.6,0.001
adamw,5,0.8903,59.69,188.5,0.001
adamw,6,0.8376,70.73,226.5,0.001
adamw,7,0.7838,62.19,264.4,0.001
adamw,8,0.7557,64.43,302.4,0.001
adamw,9,0.6964,74.73,340.3,0.001
adamw,10,0.6641,69.15,378.3,0.001
adamw,11,0.6413,76.31,416.2,0.001
adamw,12,0.6170,70.90,454.1,0.001
adamw,13,0.5675,75.24,491.9,0.001
adamw,14,0.5512,80.79,529.6,0.001
adamw,15,0.5294,79.13,567.6,0.001
adamw,16,0.5091,77.81,605.5,0.001
adamw,17,0.5058,80.66,643.3,0.001
adamw,18,0.4657,74.01,681.1,0.001
adamw,19,0.4476,78.65,718.9,0.001
adamw,20,0.4466,79.41,756.8,0.001
adamw,21,0.4269,81.04,794.8,0.001
adamw,22,0.4231,80.10,832.8,0.001
adamw,23,0.3987,78.29,870.8,0.001
adamw,24,0.3868,79.82,908.6,0.001
adamw,25,0.3648,82.96,946.4,0.001
adamw,26,0.3583,79.87,984.3,0.001
adamw,27,0.3408,74.85,1022.2,0.001
adamw,28,0.3338,78.93,1060.2,0.001
adamw,29,0.3415,81.40,1098.1,0.001
adamw,30,0.3293,83.39,1136.1,0.001
adamw,31,0.3155,82.88,1174.0,0.001
adamw,32,0.2962,75.01,1211.9,0.001
adamw,33,0.2931,83.44,1249.7,0.001
adamw,34,0.2883,81.43,1287.3,0.001
adamw,35,0.2753,85.71,1325.2,0.001
adamw,36,0.2665,83.13,1363.2,0.001
adamw,37,0.2592,84.59,1401.0,0.001
adamw,38,0.2794,84.18,1438.8,0.001
adamw,39,0.2382,82.52,1476.6,0.001
adamw,40,0.2356,84.46,1514.6,0.001
adamw,41,0.2322,81.53,1552.6,0.001
adamw,42,0.2325,84.99,1590.4,0.001
adamw,43,0.2196,81.55,1627.8,0.001
adamw,44,0.2157,84.51,1665.5,0.001
adamw,45,0.2045,81.99,1703.0,0.001
adamw,46,0.2044,82.78,1740.7,0.001
adamw,47,0.1918,85.10,1778.4,0.001
adamw,48,0.1954,83.41,1816.1,0.001
adamw,49,0.2007,84.28,1853.8,0.001
adamw,50,0.1855,84.74,1891.4,0.001
sam,1,2.3892,32.97,70.1,0.05
sam,2,1.8366,37.12,140.1,0.05
sam,3,1.6010,49.94,210.5,0.05
sam,4,1.4013,52.66,281.1,0.05
sam,5,1.2752,59.87,351.4,0.05
sam,6,1.2034,62.85,421.7,0.05
sam,7,1.1256,66.78,492.3,0.05
sam,8,1.0600,62.70,562.7,0.05
sam,9,1.0025,67.59,632.8,0.05
sam,10,0.9016,70.52,703.1,0.05
sam,11,0.8690,70.68,773.6,0.05
sam,12,0.8371,72.43,844.1,0.05
