optimizer,epoch,train_loss,test_acc,time_s
muonsam_nomom,1,1.1745,68.37,65.6
muonsam_nomom,2,0.6420,78.47,136.2
muonsam_nomom,3,0.4907,81.64,206.4
muonsam_nomom,4,0.3981,85.68,276.7
muonsam_nomom,5,0.3381,87.09,347.2
muonsam_nomom,6,0.2936,86.23,417.6
muonsam_nomom,7,0.2601,87.57,488.1
muonsam_nomom,8,0.2377,88.53,558.3
muonsam_nomom,9,0.2120,89.12,628.8
muonsam_nomom,10,0.1900,89.20,699.1
muonsam_nomom,11,0.1718,89.75,769.4
muonsam_nomom,12,0.1637,89.33,839.8
muonsam_nomom,13,0.1456,88.51,910.3
muonsam_nomom,14,0.1371,88.88,980.7
muonsam_nomom,15,0.1271,90.39,1051.2
muonsam_nomom,16,0.1454,90.13,1153.4
muonsam_nomom,17,0.1711,90.55,1256.0
muonsam_nomom,18,0.1707,90.61,1358.8
muonsam_nomom,19,0.1691,90.25,1461.6
muonsam_nomom,20,0.1673,91.30,1564.3
muonsam_nomom,21,0.1700,91.25,1667.2
muonsam_nomom,22,0.1718,91.78,1769.7
muonsam_nomom,23,0.1682,90.48,1872.5
muonsam_nomom,24,0.1614,91.34,1975.2
muonsam_nomom,25,0.1593,91.81,2077.9
muonsam_nomom,26,0.1564,91.66,2180.4
muonsam_nomom,27,0.1527,91.94,2283.0
muonsam_nomom,28,0.1446,92.40,2385.3
muonsam_nomom,29,0.1427,92.12,2487.8
muonsam_nomom,30,0.1423,92.42,2590.2
muonsam_nomom,31,0.1371,92.23,2692.8
muonsam_nomom,32,0.1332,92.61,2795.1
muonsam_nomom,33,0.1324,92.45,2897.5
muonsam_nomom,34,0.1270,92.24,2999.9
muonsam_nomom,35,0.1239,92.69,3102.3
muonsam_nomom,36,0.1219,92.76,3204.6
muonsam_nomom,37,0.1195,92.66,3306.9
muonsam_nomom,38,0.1151,92.12,3409.0
muonsam_nomom,39,0.1108,92.63,3511.3
muonsam_nomom,40,0.1102,93.02,3613.6
muonsam_nomom,41,0.1078,92.66,3715.7
muonsam_nomom,42,0.1067,92.65,3817.9
muonsam_nomom,43,0.1038,92.81,3919.9
muonsam_nomom,44,0.0983,92.73,4022.1
muonsam_nomom,45,0.0932,93.04,4124.4
muonsam_nomom,46,0.0919,92.90,4226.7
muonsam_nomom,47,0.0924,93.10,4328.7
muonsam_nomom,48,0.0908,93.03,4430.8
muonsam_nomom,49,0.0851,92.79,4532.8
muonsam_nomom,50,0.0841,93.16,4635.0
