optimizer,epoch,train_loss,test_acc,time_s
adamw,1,1.3735,57.54,42.8
adamw,2,0.9060,70.88,86.8
adamw,3,0.6985,75.93,136.4
adamw,4,0.5792,78.64,184.0
adamw,5,0.5063,82.26,233.0
adamw,6,0.4450,81.16,281.4
adamw,7,0.4038,84.63,330.5
adamw,8,0.3633,85.71,379.0
adamw,9,0.3374,85.97,428.0
adamw,10,0.3041,85.10,477.0
adamw,11,0.2839,85.67,525.9
adamw,12,0.2671,87.14,574.9
adamw,13,0.2467,86.74,624.1
adamw,14,0.2287,87.96,673.3
adamw,15,0.2122,89.02,722.1
adamw,16,0.1966,88.66,770.9
adamw,17,0.1829,89.72,820.0
adamw,18,0.1694,88.63,868.8
adamw,19,0.1609,89.85,917.4
adamw,20,0.1479,89.78,966.1
adamw,21,0.1366,89.76,1014.6
adamw,22,0.1332,90.50,1063.1
adamw,23,0.1180,89.27,1112.1
adamw,24,0.1141,89.73,1161.2
adamw,25,0.1101,89.65,1210.2
adamw,26,0.1000,89.95,1259.4
adamw,27,0.0960,90.16,1308.6
adamw,28,0.0922,90.67,1357.2
adamw,29,0.0845,91.13,1406.1
adamw,30,0.0793,90.55,1454.8
adamw,31,0.0811,90.88,1503.0
adamw,32,0.0737,90.77,1551.8
adamw,33,0.0724,90.96,1600.9
adamw,34,0.0662,90.86,1649.7
adamw,35,0.0664,91.49,1698.1
adamw,36,0.0598,90.04,1746.6
adamw,37,0.0640,90.85,1795.0
adamw,38,0.0572,90.91,1843.3
adamw,39,0.0535,91.43,1891.9
adamw,40,0.0560,90.88,1940.7
adamw,41,0.0522,90.32,1989.1
adamw,42,0.0504,91.14,2037.6
adamw,43,0.0531,91.38,2086.5
adamw,44,0.0458,91.71,2135.5
adamw,45,0.0477,90.93,2184.1
adamw,46,0.0385,91.89,2232.7
adamw,47,0.0432,91.58,2281.8
adamw,48,0.0409,92.17,2330.9
adamw,49,0.0437,91.12,2379.4
adamw,50,0.0373,91.30,2427.9
sam,1,1.7724,47.91,92.9
sam,2,1.2414,61.40,186.8
sam,3,0.9801,67.41,280.0
sam,4,0.8071,71.13,373.2
sam,5,0.6806,74.98,466.8
sam,6,0.5922,79.49,560.4
sam,7,0.5270,81.48,653.6
sam,8,0.4722,82.72,747.5
sam,9,0.4356,83.45,841.5
sam,10,0.4054,83.08,934.8
sam,11,0.3705,86.26,1027.9
sam,12,0.3519,86.16,1120.9
sam,13,0.3322,84.94,1214.6
sam,14,0.3188,85.50,1307.6
sam,15,0.3038,87.81,1400.9
sam,16,0.2955,87.45,1494.7
sam,17,0.2779,87.36,1588.1
sam,18,0.2755,87.89,1681.4
sam,19,0.2634,87.75,1775.1
sam,20,0.2565,88.64,1868.4
sam,21,0.2475,88.22,1961.2
sam,22,0.2475,88.41,2054.8
sam,23,0.2427,88.25,2148.5
sam,24,0.2316,88.49,2241.4
sam,25,0.2321,88.98,2334.7
sam,26,0.2287,88.87,2428.0
sam,27,0.2201,88.21,2520.6
sam,28,0.2178,89.38,2613.2
sam,29,0.2111,88.32,2705.9
sam,30,0.2113,90.23,2799.6
sam,31,0.2085,89.49,2893.2
sam,32,0.2044,88.31,2986.1
sam,33,0.1967,89.28,3078.6
sam,34,0.1949,89.84,3170.9
sam,35,0.1927,89.41,3263.6
sam,36,0.1924,89.85,3356.9
sam,37,0.1856,90.28,3450.3
sam,38,0.1878,89.66,3543.9
sam,39,0.1822,90.51,3637.6
sam,40,0.1833,88.34,3731.3
sam,41,0.1846,90.92,3824.4
sam,42,0.1778,89.20,3916.8
sam,43,0.1780,88.93,4009.6
sam,44,0.1740,91.00,4102.8
sam,45,0.1718,88.78,4196.1
sam,46,0.1761,89.40,4289.4
sam,47,0.1740,90.28,4382.7
sam,48,0.1696,90.35,4476.1
sam,49,0.1711,90.40,4569.7
sam,50,0.1677,88.78,4663.4
muon,1,1.0518,75.47,73.0
muon,2,0.5470,82.58,145.6
muon,3,0.4138,86.08,218.0
muon,4,0.3358,86.10,290.6
muon,5,0.2873,87.86,363.0
muon,6,0.2458,89.74,435.4
muon,7,0.2108,89.58,507.6
muon,8,0.1861,88.57,579.8
muon,9,0.1689,90.38,652.1
muon,10,0.1493,90.77,724.3
muon,11,0.1336,90.87,796.4
muon,12,0.1255,91.34,868.5
muon,13,0.1123,91.78,940.7
muon,14,0.1028,91.59,1013.1
muon,15,0.0938,91.60,1085.3
muon,16,0.0879,91.83,1157.3
muon,17,0.0811,91.08,1229.3
muon,18,0.0750,91.92,1301.3
muon,19,0.0725,91.80,1373.4
muon,20,0.0665,92.51,1445.5
muon,21,0.0612,92.24,1517.8
muon,22,0.0619,92.36,1590.2
muon,23,0.0577,92.07,1662.5
muon,24,0.0569,92.09,1734.6
muon,25,0.0526,92.41,1806.7
muon,26,0.0483,92.65,1878.8
muon,27,0.0477,92.35,1951.0
muon,28,0.0468,92.39,2023.1
muon,29,0.0422,92.41,2095.3
muon,30,0.0415,92.67,2167.5
muon,31,0.0444,92.24,2239.5
muon,32,0.0407,92.58,2311.6
muon,33,0.0394,92.59,2383.6
muon,34,0.0388,92.65,2455.8
muon,35,0.0377,92.70,2527.9
muon,36,0.0368,92.47,2600.0
muon,37,0.0352,92.83,2672.1
muon,38,0.0331,92.28,2744.1
muon,39,0.0339,92.80,2816.6
muon,40,0.0325,92.55,2889.0
muon,41,0.0304,92.67,2961.5
muon,42,0.0313,92.08,3034.1
muon,43,0.0288,92.99,3106.7
muon,44,0.0294,92.60,3179.3
muon,45,0.0288,92.88,3251.8
muon,46,0.0288,92.51,3324.5
muon,47,0.0269,92.93,3397.0
muon,48,0.0256,92.57,3469.4
muon,49,0.0270,92.73,3541.9
muon,50,0.0261,93.00,3614.3
muon_nomom,1,1.1933,70.20,72.0
muon_nomom,2,0.6502,80.33,144.0
muon_nomom,3,0.4910,82.66,216.0
muon_nomom,4,0.3995,83.80,287.9
muon_nomom,5,0.3426,86.45,359.8
muon_nomom,6,0.2995,87.48,431.7
muon_nomom,7,0.2645,87.97,503.5
muon_nomom,8,0.2346,88.93,575.2
muon_nomom,9,0.2133,88.33,646.9
muon_nomom,10,0.1911,87.75,718.5
muon_nomom,11,0.1763,89.03,790.2
muon_nomom,12,0.1609,89.96,861.8
muon_nomom,13,0.1481,89.79,933.4
muon_nomom,14,0.1374,90.76,1005.1
muon_nomom,15,0.1248,90.68,1076.8
muon_nomom,16,0.1203,90.94,1148.5
muon_nomom,17,0.1083,90.13,1220.2
muon_nomom,18,0.1023,90.14,1291.9
muon_nomom,19,0.0983,90.21,1363.6
muon_nomom,20,0.0922,90.46,1435.2
muon_nomom,21,0.0866,90.82,1506.9
muon_nomom,22,0.0810,91.05,1578.5
muon_nomom,23,0.0773,90.44,1650.1
muon_nomom,24,0.0737,90.51,1721.9
muon_nomom,25,0.0684,90.13,1793.6
muon_nomom,26,0.0679,90.84,1865.2
muon_nomom,27,0.0663,90.87,1937.0
muon_nomom,28,0.0598,91.13,2008.6
muon_nomom,29,0.0646,91.06,2080.1
muon_nomom,30,0.0599,91.06,2151.6
muon_nomom,31,0.0590,91.39,2223.0
muon_nomom,32,0.0548,91.27,2294.5
muon_nomom,33,0.0557,90.92,2366.1
muon_nomom,34,0.0509,90.68,2437.6
muon_nomom,35,0.0478,90.69,2509.4
muon_nomom,36,0.0482,90.62,2581.0
muon_nomom,37,0.0475,90.08,2652.6
muon_nomom,38,0.0486,90.93,2724.2
muon_nomom,39,0.0472,90.75,2795.8
muon_nomom,40,0.0450,91.26,2867.5
muon_nomom,41,0.0438,91.12,2939.1
muon_nomom,42,0.0437,91.16,3010.7
muon_nomom,43,0.0440,91.15,3082.3
muon_nomom,44,0.0427,90.25,3153.9
muon_nomom,45,0.0444,91.20,3225.6
muon_nomom,46,0.0412,91.53,3297.3
muon_nomom,47,0.0388,91.16,3369.1
muon_nomom,48,0.0382,91.45,3440.7
muon_nomom,49,0.0395,91.51,3512.4
muon_nomom,50,0.0383,90.30,3584.4
muonsam_nomom,1,1.1931,67.23,71.6
muonsam_nomom,2,0.6436,77.73,143.7
muonsam_nomom,3,0.4867,83.81,215.8
muonsam_nomom,4,0.3959,85.01,287.4
muonsam_nomom,5,0.3401,86.43,358.9
muonsam_nomom,6,0.2980,88.10,430.7
muonsam_nomom,7,0.2616,88.86,502.5
muonsam_nomom,8,0.2318,88.82,574.2
muonsam_nomom,9,0.2108,88.43,646.1
muonsam_nomom,10,0.1905,88.19,717.7
muonsam_nomom,11,0.1756,90.57,789.3
muonsam_nomom,12,0.1597,89.85,861.1
muonsam_nomom,13,0.1457,90.35,933.0
