# dataset=cifar100 px=32 epochs=50 seed=2 batch=128 wd=0.0005 rho_max=0.05 rho_aux=0.01 torch=2.10.0+cu128
optimizer,epoch,train_loss,test_acc,test_loss,time_s,lr
adamw,1,3.6053,20.39,3.3561,43.2,0.001
adamw,2,2.7584,32.96,2.5844,88.3,0.001
adamw,3,2.2569,38.65,2.4053,139.7,0.001
adamw,4,1.9358,46.24,1.9978,188.6,0.001
adamw,5,1.6946,49.78,1.8499,238.9,0.001
adamw,6,1.5157,54.70,1.6440,288.6,0.001
adamw,7,1.3676,55.30,1.6551,339.0,0.001
adamw,8,1.2470,57.86,1.5149,389.3,0.001
adamw,9,1.1420,59.33,1.5012,439.6,0.001
adamw,10,1.0358,60.87,1.4233,490.0,0.001
adamw,11,0.9573,62.84,1.3860,540.3,0.001
adamw,12,0.8694,62.10,1.4439,590.7,0.001
adamw,13,0.8008,63.43,1.3877,640.9,0.001
adamw,14,0.7347,64.22,1.3832,690.9,0.001
adamw,15,0.6699,64.66,1.3836,741.0,0.001
adamw,16,0.6072,64.64,1.4155,791.2,0.001
adamw,17,0.5476,64.58,1.3891,841.5,0.001
adamw,18,0.4898,65.68,1.4424,891.8,0.001
adamw,19,0.4530,65.31,1.4715,942.1,0.001
adamw,20,0.4040,65.89,1.4641,992.5,0.001
adamw,21,0.3663,66.39,1.4960,1042.8,0.001
adamw,22,0.3320,66.36,1.5438,1093.2,0.001
adamw,23,0.2999,66.23,1.5557,1143.5,0.001
adamw,24,0.2721,65.91,1.6049,1193.9,0.001
adamw,25,0.2543,67.43,1.5438,1244.2,0.001
adamw,26,0.2342,66.69,1.6202,1294.6,0.001
adamw,27,0.2211,66.83,1.6785,1344.9,0.001
adamw,28,0.2053,66.50,1.7038,1395.2,0.001
adamw,29,0.1877,66.97,1.7286,1445.6,0.001
adamw,30,0.1803,66.72,1.7387,1495.9,0.001
adamw,31,0.1763,66.24,1.8109,1546.2,0.001
adamw,32,0.1580,67.12,1.7894,1596.6,0.001
adamw,33,0.1565,67.07,1.8134,1646.9,0.001
adamw,34,0.1444,67.48,1.8497,1697.2,0.001
adamw,35,0.1391,66.45,1.9123,1747.6,0.001
adamw,36,0.1397,66.61,1.9537,1797.9,0.001
adamw,37,0.1329,66.29,1.9780,1848.3,0.001
adamw,38,0.1299,66.49,2.0053,1898.6,0.001
adamw,39,0.1236,67.76,1.8942,1948.9,0.001
adamw,40,0.1168,66.62,1.9677,1999.3,0.001
adamw,41,0.1131,67.95,1.9481,2049.6,0.001
adamw,42,0.1150,67.80,1.9631,2100.0,0.001
adamw,43,0.1078,67.84,1.9463,2150.3,0.001
adamw,44,0.0960,67.10,2.0860,2200.6,0.001
adamw,45,0.1032,67.42,2.0442,2251.0,0.001
adamw,46,0.0990,67.72,2.1188,2301.3,0.001
adamw,47,0.0935,67.20,2.0777,2351.7,0.001
adamw,48,0.0908,67.30,2.1104,2402.0,0.001
adamw,49,0.0877,67.37,2.0688,2452.3,0.001
adamw,50,0.0884,66.85,2.1191,2502.7,0.001
muon,1,3.0419,39.68,2.2986,74.1,0.02
muon,2,1.8720,53.05,1.7134,148.1,0.02
muon,3,1.4493,58.62,1.5095,222.2,0.02
muon,4,1.2068,60.28,1.4805,296.2,0.02
muon,5,1.0258,62.10,1.3892,370.3,0.02
muon,6,0.8783,65.94,1.2669,444.5,0.02
muon,7,0.7410,66.41,1.3134,518.6,0.02
muon,8,0.6427,68.51,1.2160,592.7,0.02
muon,9,0.5577,68.05,1.2781,666.8,0.02
muon,10,0.4868,69.20,1.2674,741.0,0.02
