# dataset=imagenette128 px=128 epochs=50 seed=2 batch=128 wd=0.0005 rho_max=0.05 rho_aux=0.01 torch=2.10.0+cu128
optimizer,epoch,train_loss,test_acc,test_loss,time_s,lr
muon,1,1.4035,54.09,1.6275,130.5,0.02
muon,2,0.8889,69.27,1.0614,262.9,0.02
muon,3,0.6802,77.58,0.7195,396.0,0.02
muon,4,0.5724,79.97,0.6563,528.8,0.02
muon,5,0.4725,82.17,0.5890,661.9,0.02
muon,6,0.4299,81.66,0.6386,795.1,0.02
muon,7,0.3628,84.71,0.4692,928.3,0.02
muon,8,0.3170,86.17,0.4510,1061.2,0.02
muon,9,0.2849,87.06,0.4275,1194.5,0.02
muon,10,0.2607,86.42,0.4482,1327.7,0.02
muon,11,0.2270,83.72,0.6004,1460.8,0.02
muon,12,0.2084,87.03,0.4424,1593.9,0.02
muon,13,0.1994,88.41,0.3847,1727.3,0.02
muon,14,0.1791,87.69,0.4183,1860.3,0.02
muon,15,0.1547,88.20,0.4099,1993.3,0.02
muon,16,0.1505,86.75,0.4563,2126.6,0.02
muon,17,0.1339,88.10,0.4254,2259.7,0.02
muon,18,0.1334,88.03,0.4068,2392.9,0.02
muon,19,0.1264,88.13,0.4176,2526.3,0.02
muon,20,0.1288,88.87,0.4175,2659.3,0.02
muon,21,0.1163,88.97,0.4263,2792.2,0.02
muon,22,0.1106,88.38,0.3978,2925.3,0.02
muon,23,0.1025,87.57,0.4811,3058.3,0.02
muon,24,0.0923,88.28,0.4574,3191.5,0.02
muon,25,0.0863,88.84,0.4221,3324.7,0.02
muon,26,0.0843,88.89,0.4035,3458.2,0.02
muon,27,0.0819,87.77,0.4840,3591.4,0.02
muon,28,0.0827,89.61,0.3850,3724.6,0.02
muon,29,0.0824,90.68,0.3634,3857.7,0.02
muon,30,0.0784,90.01,0.3938,3991.3,0.02
muon,31,0.0778,89.86,0.3815,4124.4,0.02
muon,32,0.0648,88.48,0.4597,4257.4,0.02
muon,33,0.0658,88.48,0.4464,4390.5,0.02
muon,34,0.0671,89.83,0.4061,4523.7,0.02
muon,35,0.0713,89.76,0.3953,4657.0,0.02
muon,36,0.0638,89.45,0.4298,4790.2,0.02
muon,37,0.0572,90.27,0.4291,4923.4,0.02
muon,38,0.0536,89.27,0.4618,5056.7,0.02
muon,39,0.0651,89.71,0.4079,5190.0,0.02
muon,40,0.0602,90.09,0.3916,5323.4,0.02
muon,41,0.0546,90.22,0.4017,5456.4,0.02
muon,42,0.0596,89.81,0.4095,5589.8,0.02
muon,43,0.0551,90.80,0.3793,5723.0,0.02
muon,44,0.0483,89.04,0.4302,5856.2,0.02
muon,45,0.0495,89.89,0.4125,5989.6,0.02
muon,46,0.0484,88.05,0.5047,6122.7,0.02
muon,47,0.0522,90.24,0.4010,6256.0,0.02
muon,48,0.0464,89.91,0.4080,6389.1,0.02
muon,49,0.0471,87.31,0.5322,6522.4,0.02
muon,50,0.0482,89.50,0.4193,6655.8,0.02
muonsam,1,1.3991,54.50,1.6462,132.4,0.02
muonsam,2,0.8868,66.83,1.1727,265.3,0.02
