# dataset=imagenette px=64 epochs=50 seed=2 batch=128 wd=0.0005 rho_max=0.05 rho_aux=0.01 torch=2.10.0+cu128
optimizer,epoch,train_loss,test_acc,test_loss,time_s,lr
muonsam_nomom,1,1.5058,61.99,1.1215,34.9,0.02
muonsam_nomom,2,0.9935,66.62,1.0748,69.2,0.02
muonsam_nomom,3,0.8222,70.37,0.9497,104.5,0.02
muonsam_nomom,4,0.7085,72.97,0.8371,140.2,0.02
muonsam_nomom,5,0.6144,76.82,0.7095,176.3,0.02
muonsam_nomom,6,0.5540,78.78,0.6510,213.1,0.02
muonsam_nomom,7,0.4933,78.39,0.7327,249.5,0.02
muonsam_nomom,8,0.4501,79.11,0.6775,286.1,0.02
muonsam_nomom,9,0.4102,83.34,0.5392,322.7,0.02
muonsam_nomom,10,0.3793,82.11,0.5753,359.2,0.02
muonsam_nomom,11,0.3263,83.06,0.5808,395.7,0.02
muonsam_nomom,12,0.3120,84.03,0.5406,432.3,0.02
muonsam_nomom,13,0.2952,83.62,0.5962,469.0,0.02
muonsam_nomom,14,0.2731,83.49,0.6080,505.5,0.02
muonsam_nomom,15,0.2435,84.92,0.5155,542.1,0.02
muonsam_nomom,16,0.2507,84.69,0.4752,587.8,0.02
muonsam_nomom,17,0.2848,84.00,0.4965,634.1,0.02
muonsam_nomom,18,0.3439,84.94,0.5025,680.3,0.02
muonsam_nomom,19,0.3562,84.64,0.4996,726.7,0.02
muonsam_nomom,20,0.3597,85.61,0.4884,772.9,0.02
muonsam_nomom,21,0.3460,84.03,0.5179,818.9,0.02
muonsam_nomom,22,0.3329,85.86,0.4495,865.1,0.02
muonsam_nomom,23,0.3298,87.85,0.4282,911.4,0.02
muonsam_nomom,24,0.3261,86.01,0.4496,957.6,0.02
muonsam_nomom,25,0.3110,86.22,0.4618,1004.0,0.02
muonsam_nomom,26,0.3063,87.13,0.4610,1049.9,0.02
muonsam_nomom,27,0.3049,87.08,0.4280,1096.2,0.02
muonsam_nomom,28,0.2825,87.31,0.4308,1142.4,0.02
muonsam_nomom,29,0.2915,87.16,0.4357,1188.7,0.02
muonsam_nomom,30,0.2794,88.38,0.4127,1235.0,0.02
muonsam_nomom,31,0.2787,87.62,0.4362,1280.8,0.02
muonsam_nomom,32,0.2775,87.31,0.4267,1327.1,0.02
muonsam_nomom,33,0.2608,88.56,0.3780,1373.3,0.02
muonsam_nomom,34,0.2523,87.87,0.3887,1419.6,0.02
muonsam_nomom,35,0.2584,87.90,0.4146,1465.9,0.02
muonsam_nomom,36,0.2374,87.36,0.4122,1511.7,0.02
muonsam_nomom,37,0.2333,88.18,0.3985,1558.0,0.02
muonsam_nomom,38,0.2429,88.79,0.3818,1604.3,0.02
muonsam_nomom,39,0.2140,88.51,0.3925,1650.4,0.02
muonsam_nomom,40,0.2164,88.87,0.3695,1696.6,0.02
muonsam_nomom,41,0.2102,88.79,0.3839,1742.5,0.02
muonsam_nomom,42,0.2246,88.51,0.3829,1788.7,0.02
muonsam_nomom,43,0.2160,88.38,0.4041,1834.9,0.02
muonsam_nomom,44,0.2065,89.68,0.3523,1881.0,0.02
muonsam_nomom,45,0.2104,89.30,0.3625,1927.3,0.02
muonsam_nomom,46,0.2016,88.61,0.3800,1973.1,0.02
muonsam_nomom,47,0.2063,88.43,0.3665,2019.3,0.02
muonsam_nomom,48,0.1943,88.64,0.3498,2065.5,0.02
muonsam_nomom,49,0.1988,89.96,0.3499,2111.7,0.02
muonsam_nomom,50,0.1852,88.66,0.3695,2157.9,0.02
muon_nomom,1,1.5025,60.79,1.1616,36.4,0.02
muon_nomom,2,0.9916,64.25,1.1440,72.9,0.02
muon_nomom,3,0.8189,68.33,1.0115,109.4,0.02
muon_nomom,4,0.7066,75.26,0.7779,145.9,0.02
muon_nomom,5,0.6132,76.46,0.7340,182.3,0.02
muon_nomom,6,0.5484,78.17,0.7291,218.9,0.02
muon_nomom,7,0.4973,79.46,0.6782,255.4,0.02
muon_nomom,8,0.4533,79.34,0.6594,291.9,0.02
muon_nomom,9,0.4080,84.69,0.5003,328.5,0.02
muon_nomom,10,0.3814,81.20,0.6186,364.9,0.02
muon_nomom,11,0.3272,82.52,0.5938,401.4,0.02
muon_nomom,12,0.3139,81.78,0.6127,437.9,0.02
muon_nomom,13,0.2994,84.28,0.5358,474.5,0.02
muon_nomom,14,0.2772,83.29,0.6287,511.0,0.02
muon_nomom,15,0.2468,84.59,0.5312,547.5,0.02
muon_nomom,16,0.2432,84.15,0.5657,584.1,0.02
muon_nomom,17,0.2195,83.11,0.5885,620.7,0.02
muon_nomom,18,0.2138,84.36,0.5733,657.4,0.02
muon_nomom,19,0.1980,84.84,0.5577,694.1,0.02
muon_nomom,20,0.1813,83.97,0.5909,730.6,0.02
muon_nomom,21,0.1697,84.31,0.6318,767.1,0.02
muon_nomom,22,0.1556,84.05,0.5905,803.5,0.02
muon_nomom,23,0.1449,83.52,0.6904,840.1,0.02
muon_nomom,24,0.1345,84.97,0.5768,876.7,0.02
muon_nomom,25,0.1357,85.76,0.5693,913.0,0.02
muon_nomom,26,0.1331,82.90,0.7343,949.4,0.02
muon_nomom,27,0.1208,84.54,0.6261,986.1,0.02
muon_nomom,28,0.1273,85.68,0.5744,1022.6,0.02
muon_nomom,29,0.1178,83.29,0.6562,1059.3,0.02
muon_nomom,30,0.1178,84.03,0.7125,1095.9,0.02
muon_nomom,31,0.1128,84.99,0.6333,1132.5,0.02
muon_nomom,32,0.1000,82.90,0.6925,1169.0,0.02
muon_nomom,33,0.0954,83.46,0.7442,1205.5,0.02
muon_nomom,34,0.1024,84.97,0.6413,1242.1,0.02
muon_nomom,35,0.0999,82.88,0.7440,1278.7,0.02
muon_nomom,36,0.0829,83.13,0.7885,1315.2,0.02
muon_nomom,37,0.0900,85.94,0.5856,1351.8,0.02
muon_nomom,38,0.0895,85.22,0.6136,1388.5,0.02
muon_nomom,39,0.0825,84.10,0.7728,1425.0,0.02
muon_nomom,40,0.0797,84.79,0.6903,1461.6,0.02
muon_nomom,41,0.0774,82.90,0.7293,1498.3,0.02
muon_nomom,42,0.0816,84.89,0.6905,1534.9,0.02
muon_nomom,43,0.0704,85.25,0.6981,1571.5,0.02
muon_nomom,44,0.0734,85.35,0.6328,1608.0,0.02
muon_nomom,45,0.0789,85.38,0.6843,1644.6,0.02
muon_nomom,46,0.0813,86.57,0.6317,1681.1,0.02
muon_nomom,47,0.0747,85.83,0.6790,1717.6,0.02
muon_nomom,48,0.0663,85.53,0.6839,1754.2,0.02
muon_nomom,49,0.0666,83.85,0.8130,1790.7,0.02
muon_nomom,50,0.0649,84.61,0.7763,1827.2,0.02
muon,1,1.4315,58.22,1.4173,36.7,0.02
muon,2,0.9093,64.13,1.2068,73.4,0.02
muon,3,0.7407,74.17,0.7877,110.1,0.02
muon,4,0.6139,70.83,1.0038,146.8,0.02
muon,5,0.5184,77.35,0.7384,183.6,0.02
muon,6,0.4729,81.40,0.6051,220.4,0.02
muon,7,0.4012,79.01,0.6907,257.1,0.02
muon,8,0.3552,84.94,0.4830,293.9,0.02
muon,9,0.3174,83.80,0.5602,330.7,0.02
muon,10,0.2902,84.54,0.5231,367.5,0.02
muon,11,0.2560,86.37,0.4493,404.2,0.02
muon,12,0.2287,86.11,0.4678,440.9,0.02
muon,13,0.2241,84.13,0.5576,477.7,0.02
muon,14,0.2104,87.49,0.4082,514.4,0.02
muon,15,0.1845,85.81,0.4850,551.2,0.02
muon,16,0.1771,88.13,0.4020,588.0,0.02
muon,17,0.1625,87.03,0.4820,624.8,0.02
muon,18,0.1529,87.36,0.4236,661.5,0.02
muon,19,0.1458,87.41,0.4507,698.3,0.02
muon,20,0.1380,85.83,0.5103,735.1,0.02
muon,21,0.1397,87.85,0.4695,771.9,0.02
muon,22,0.1232,86.65,0.5026,808.7,0.02
muon,23,0.1172,87.06,0.4688,845.5,0.02
muon,24,0.1070,87.97,0.4476,882.3,0.02
muon,25,0.1127,88.56,0.4398,919.0,0.02
muon,26,0.1066,87.31,0.4747,955.8,0.02
muon,27,0.0967,87.44,0.4876,992.6,0.02
muon,28,0.1064,87.69,0.4876,1029.4,0.02
muon,29,0.0967,86.75,0.5334,1066.1,0.02
muon,30,0.0887,88.23,0.4624,1102.8,0.02
muon,31,0.0925,88.05,0.4952,1139.6,0.02
muon,32,0.0875,88.51,0.4548,1176.4,0.02
muon,33,0.0834,86.73,0.4895,1213.1,0.02
muon,34,0.0808,88.25,0.4559,1249.9,0.02
muon,35,0.0817,87.92,0.4803,1286.7,0.02
muon,36,0.0739,88.71,0.4647,1323.5,0.02
muon,37,0.0727,87.80,0.4901,1360.3,0.02
muon,38,0.0651,88.51,0.4500,1397.1,0.02
muon,39,0.0692,87.95,0.4803,1433.8,0.02
