# dataset=imagenette px=64 epochs=50 seed=2 batch=128 wd=0.0005 rho_max=0.05 rho_aux=0.01 torch=2.10.0+cu128
optimizer,epoch,train_loss,test_acc,test_loss,time_s,lr
adamw,1,1.7531,49.68,1.5267,34.1,0.001
adamw,2,1.3009,54.45,1.5697,72.9,0.001
adamw,3,1.1311,57.45,1.3204,111.4,0.001
adamw,4,1.0274,54.29,1.5314,149.4,0.001
adamw,5,0.9234,60.92,1.3448,188.3,0.001
adamw,6,0.8807,66.39,1.0338,226.4,0.001
adamw,7,0.8182,63.26,1.1557,265.1,0.001
adamw,8,0.7483,67.77,1.0199,304.1,0.001
adamw,9,0.7410,70.88,0.8988,343.1,0.001
adamw,10,0.6899,72.51,0.9224,382.1,0.001
adamw,11,0.6195,76.66,0.7199,420.5,0.001
adamw,12,0.6151,77.04,0.7281,459.0,0.001
adamw,13,0.5951,73.30,0.9168,497.5,0.001
adamw,14,0.5771,76.08,0.7868,536.4,0.001
adamw,15,0.5463,78.65,0.6960,575.3,0.001
adamw,16,0.5080,79.62,0.6271,614.1,0.001
adamw,17,0.5183,79.77,0.6489,653.0,0.001
adamw,18,0.4792,78.32,0.6686,691.9,0.001
adamw,19,0.4862,77.86,0.7650,730.8,0.001
adamw,20,0.4491,77.48,0.6983,769.8,0.001
adamw,21,0.4563,81.17,0.6026,808.7,0.001
adamw,22,0.4196,80.89,0.6022,847.7,0.001
adamw,23,0.4060,78.93,0.6833,886.6,0.001
adamw,24,0.3875,80.36,0.7268,925.3,0.001
adamw,25,0.3791,80.46,0.6872,964.3,0.001
adamw,26,0.3754,80.36,0.6636,1003.3,0.001
adamw,27,0.3444,79.49,0.7455,1042.0,0.001
adamw,28,0.3439,81.55,0.6012,1080.5,0.001
adamw,29,0.3360,80.13,0.6528,1119.0,0.001
adamw,30,0.3244,80.10,0.6616,1157.5,0.001
adamw,31,0.3306,83.29,0.5678,1196.0,0.001
adamw,32,0.3090,82.01,0.5945,1234.6,0.001
adamw,33,0.2860,85.20,0.5027,1273.4,0.001
adamw,34,0.2913,83.26,0.5742,1312.3,0.001
adamw,35,0.2799,85.12,0.4884,1350.9,0.001
adamw,36,0.2565,81.50,0.6530,1389.5,0.001
adamw,37,0.2744,82.57,0.6302,1428.3,0.001
adamw,38,0.2576,84.61,0.5435,1467.3,0.001
adamw,39,0.2385,82.85,0.5798,1506.2,0.001
adamw,40,0.2378,83.59,0.5759,1544.8,0.001
adamw,41,0.2523,84.36,0.5272,1583.6,0.001
adamw,42,0.2246,85.32,0.5188,1622.6,0.001
adamw,43,0.2221,81.94,0.7070,1661.2,0.001
adamw,44,0.2142,86.52,0.4617,1699.8,0.001
adamw,45,0.1929,86.34,0.5068,1738.2,0.001
adamw,46,0.1982,81.86,0.6339,1776.6,0.001
adamw,47,0.2109,85.02,0.5185,1815.1,0.001
adamw,48,0.2064,88.25,0.4158,1853.6,0.001
adamw,49,0.1943,85.35,0.5557,1892.1,0.001
adamw,50,0.1921,84.13,0.6150,1930.7,0.001
muon,1,1.4349,58.85,1.4334,43.6,0.02
muon,2,0.9081,66.73,1.1575,86.9,0.02
muon,3,0.7373,76.89,0.7303,130.4,0.02
muon,4,0.6184,75.34,0.8208,173.9,0.02
muon,5,0.5250,75.97,0.7939,217.5,0.02
muon,6,0.4722,81.20,0.6105,261.1,0.02
muon,7,0.4054,81.40,0.5804,304.6,0.02
muon,8,0.3595,85.91,0.4565,348.1,0.02
muon,9,0.3154,84.13,0.5748,391.7,0.02
muon,10,0.2921,84.79,0.4905,435.3,0.02
muon,11,0.2517,85.45,0.4957,478.9,0.02
muon,12,0.2378,86.37,0.5025,522.4,0.02
muon,13,0.2293,85.15,0.5061,566.0,0.02
muon,14,0.2092,87.31,0.4657,609.5,0.02
muon,15,0.1831,86.93,0.4435,653.0,0.02
muon,16,0.1814,85.53,0.5165,696.6,0.02
muon,17,0.1714,86.29,0.5195,740.2,0.02
muon,18,0.1538,88.20,0.4222,783.7,0.02
muon,19,0.1476,87.16,0.4618,827.3,0.02
muon,20,0.1424,87.49,0.4427,870.9,0.02
muon,21,0.1431,87.85,0.4679,914.4,0.02
muon,22,0.1340,88.36,0.4382,957.9,0.02
muon,23,0.1141,87.77,0.4434,1001.4,0.02
muon,24,0.1067,87.46,0.4435,1045.0,0.02
muon,25,0.0981,88.18,0.4340,1088.6,0.02
muon,26,0.1066,87.03,0.5299,1132.1,0.02
muon,27,0.1009,88.76,0.4272,1175.7,0.02
muon,28,0.0950,87.80,0.4901,1219.3,0.02
muon,29,0.0965,86.83,0.5238,1262.8,0.02
muon,30,0.0884,88.31,0.4548,1306.4,0.02
muon,31,0.0892,86.88,0.5478,1350.0,0.02
muon,32,0.0959,88.15,0.4662,1393.6,0.02
muon,33,0.0806,88.23,0.4323,1437.2,0.02
muon,34,0.0826,88.97,0.4195,1480.7,0.02
muon,35,0.0767,88.31,0.4598,1524.2,0.02
muon,36,0.0730,89.81,0.3985,1567.7,0.02
muon,37,0.0748,88.79,0.4455,1611.3,0.02
muon,38,0.0682,89.20,0.4449,1654.8,0.02
muon,39,0.0686,88.51,0.4970,1698.4,0.02
muon,40,0.0581,89.10,0.4364,1741.9,0.02
muon,41,0.0640,89.15,0.4322,1785.5,0.02
muon,42,0.0656,88.61,0.4452,1829.1,0.02
muon,43,0.0627,88.84,0.4665,1872.7,0.02
muon,44,0.0611,88.05,0.4847,1916.2,0.02
muon,45,0.0578,89.66,0.4215,1959.9,0.02
muon,46,0.0579,89.20,0.4776,2003.5,0.02
muon,47,0.0666,89.81,0.4220,2047.0,0.02
muon,48,0.0610,88.00,0.5034,2090.6,0.02
muon,49,0.0555,88.56,0.4693,2134.2,0.02
muon,50,0.0526,89.32,0.4535,2177.7,0.02
sam,1,2.3563,35.49,1.8746,71.9,0.05
sam,2,1.7188,40.92,1.7188,143.7,0.05
sam,3,1.4906,45.91,1.7071,215.6,0.05
sam,4,1.3438,58.14,1.2778,287.6,0.05
sam,5,1.2255,50.37,1.5714,359.5,0.05
sam,6,1.1390,66.57,1.0565,431.8,0.05
sam,7,1.0805,67.06,1.0257,503.9,0.05
sam,8,0.9909,69.15,0.9492,576.3,0.05
sam,9,0.9553,64.05,1.1454,648.6,0.05
sam,10,0.9119,66.68,0.9788,720.9,0.05
sam,11,0.8353,72.64,0.8709,793.0,0.05
sam,12,0.7929,72.00,0.8700,865.1,0.05
sam,13,0.7636,70.11,0.9133,937.1,0.05
sam,14,0.7374,72.99,0.8424,1009.2,0.05
sam,15,0.7099,76.25,0.7151,1081.3,0.05
sam,16,0.6621,77.15,0.7023,1153.6,0.05
sam,17,0.6430,77.10,0.7029,1225.8,0.05
sam,18,0.6067,77.78,0.6718,1298.3,0.05
sam,19,0.6062,77.63,0.6906,1370.5,0.05
sam,20,0.5691,71.36,0.8794,1442.7,0.05
sam,21,0.5664,78.93,0.6468,1515.0,0.05
sam,22,0.5218,76.08,0.7776,1587.3,0.05
sam,23,0.5112,80.31,0.6009,1659.6,0.05
sam,24,0.4839,82.37,0.5607,1731.9,0.05
sam,25,0.4788,78.75,0.6806,1804.4,0.05
sam,26,0.4626,81.20,0.5846,1876.7,0.05
sam,27,0.4381,78.80,0.6818,1948.9,0.05
sam,28,0.4326,80.31,0.5913,2021.5,0.05
sam,29,0.4248,79.72,0.6166,2094.1,0.05
sam,30,0.4128,82.57,0.5294,2166.5,0.05
sam,31,0.3999,82.04,0.5689,2238.8,0.05
sam,32,0.3826,83.75,0.4996,2311.4,0.05
sam,33,0.3673,83.49,0.5229,2383.8,0.05
sam,34,0.3714,84.61,0.4792,2455.3,0.05
sam,35,0.3512,84.18,0.4865,2526.9,0.05
sam,36,0.3295,85.02,0.5023,2598.9,0.05
sam,37,0.3281,81.48,0.5853,2670.8,0.05
sam,38,0.3233,85.53,0.4687,2743.2,0.05
sam,39,0.3019,84.38,0.5009,2815.3,0.05
sam,40,0.2922,84.84,0.4523,2887.4,0.05
sam,41,0.2938,86.24,0.4417,2959.6,0.05
sam,42,0.2851,84.79,0.4717,3031.9,0.05
sam,43,0.2776,84.03,0.5158,3104.1,0.05
sam,44,0.2706,84.97,0.4745,3176.4,0.05
sam,45,0.2582,85.63,0.4577,3248.5,0.05
sam,46,0.2599,80.64,0.6310,3320.6,0.05
sam,47,0.2732,85.53,0.4492,3392.7,0.05
sam,48,0.2503,85.50,0.4580,3464.8,0.05
sam,49,0.2429,83.18,0.5268,3536.9,0.05
sam,50,0.2437,83.90,0.5070,3609.1,0.05
muonsam,1,1.4336,49.76,1.7850,43.4,0.02
muonsam,2,0.9193,67.46,1.1352,87.0,0.02
muonsam,3,0.7388,76.13,0.7239,130.5,0.02
muonsam,4,0.6118,75.62,0.7980,174.0,0.02
muonsam,5,0.5207,76.64,0.7439,217.6,0.02
muonsam,6,0.4637,82.70,0.5578,261.1,0.02
muonsam,7,0.4001,81.96,0.5784,304.5,0.02
muonsam,8,0.3555,85.38,0.4830,347.9,0.02
muonsam,9,0.3162,83.72,0.5547,391.3,0.02
muonsam,10,0.2971,84.51,0.5138,434.9,0.02
muonsam,11,0.2474,86.45,0.4325,478.5,0.02
muonsam,12,0.2282,86.06,0.4837,522.0,0.02
muonsam,13,0.2354,86.37,0.4615,565.6,0.02
muonsam,14,0.2146,87.34,0.4451,609.1,0.02
muonsam,15,0.1828,85.96,0.5347,652.7,0.02
muonsam,16,0.1798,87.87,0.4032,707.8,0.02
muonsam,17,0.1686,86.96,0.4175,763.7,0.02
muonsam,18,0.1708,89.50,0.3433,819.6,0.02
muonsam,19,0.1847,88.99,0.3498,875.6,0.02
muonsam,20,0.1938,88.94,0.3525,931.6,0.02
muonsam,21,0.1794,89.32,0.3344,987.1,0.02
muonsam,22,0.1719,90.62,0.3146,1043.1,0.02
muonsam,23,0.1404,89.94,0.3386,1099.0,0.02
muonsam,24,0.1425,89.86,0.3265,1155.0,0.02
muonsam,25,0.1313,88.82,0.3580,1210.9,0.02
muonsam,26,0.1430,87.90,0.3820,1266.4,0.02
muonsam,27,0.1278,88.38,0.3815,1322.3,0.02
muonsam,28,0.1122,89.50,0.3332,1378.0,0.02
muonsam,29,0.1108,89.61,0.3399,1434.0,0.02
muonsam,30,0.1086,90.68,0.3023,1489.9,0.02
muonsam,31,0.1004,88.54,0.3680,1545.3,0.02
muonsam,32,0.1016,89.50,0.3477,1601.2,0.02
muonsam,33,0.1054,89.81,0.3307,1657.2,0.02
muonsam,34,0.0977,89.40,0.3328,1713.2,0.02
muonsam,35,0.0934,89.99,0.3154,1769.1,0.02
muonsam,36,0.0898,90.73,0.2804,1824.6,0.02
muonsam,37,0.0894,90.88,0.2942,1880.2,0.02
muonsam,38,0.0795,89.76,0.3363,1936.1,0.02
muonsam,39,0.0724,90.85,0.3027,1992.1,0.02
muonsam,40,0.0717,90.90,0.2725,2048.0,0.02
muonsam,41,0.0744,90.45,0.3016,2103.4,0.02
muonsam,42,0.0727,90.29,0.3134,2159.3,0.02
muonsam,43,0.0690,91.26,0.2939,2215.3,0.02
muonsam,44,0.0689,91.11,0.2900,2271.2,0.02
muonsam,45,0.0709,90.57,0.2996,2327.1,0.02
muonsam,46,0.0698,90.04,0.3133,2382.5,0.02
muonsam,47,0.0661,91.18,0.2895,2438.0,0.02
muonsam,48,0.0614,90.68,0.3017,2493.6,0.02
muonsam,49,0.0653,91.16,0.2847,2549.4,0.02
muonsam,50,0.0618,90.98,0.2761,2605.4,0.02
