# dataset=cifar10 px=32 epochs=50 seed=0 batch=128 wd=0.0005 rho_max=0.05 rho_aux=0.01 torch=2.10.0+cu128
optimizer,epoch,train_loss,test_acc,test_loss,time_s,lr
muonsam,1,1.0491,74.40,0.7599,68.5,0.02
muonsam,2,0.5527,82.95,0.4877,141.3,0.02
muonsam,3,0.4189,83.45,0.4867,213.5,0.02
muonsam,4,0.3460,85.11,0.4754,285.5,0.02
muonsam,5,0.2902,88.24,0.3608,357.8,0.02
muonsam,6,0.2457,89.04,0.3434,430.1,0.02
muonsam,7,0.2151,90.01,0.3165,502.1,0.02
muonsam,8,0.1881,89.26,0.3553,574.2,0.02
muonsam,9,0.1680,90.56,0.3098,646.2,0.02
muonsam,10,0.1467,90.69,0.3096,718.2,0.02
muonsam,11,0.1331,91.01,0.3158,790.4,0.02
muonsam,12,0.1220,91.17,0.3230,862.5,0.02
muonsam,13,0.1081,90.82,0.3380,934.4,0.02
muonsam,14,0.1038,91.35,0.3134,1006.6,0.02
muonsam,15,0.0942,92.05,0.3030,1078.5,0.02
muonsam,16,0.0892,92.04,0.2560,1187.5,0.02
muonsam,17,0.0882,92.11,0.2460,1296.7,0.02
muonsam,18,0.0804,92.97,0.2168,1406.0,0.02
muonsam,19,0.0769,92.57,0.2295,1515.3,0.02
muonsam,20,0.0698,92.79,0.2268,1624.7,0.02
muonsam,21,0.0672,92.93,0.2236,1733.8,0.02
muonsam,22,0.0676,92.60,0.2299,1843.0,0.02
muonsam,23,0.0619,92.91,0.2280,1952.0,0.02
muonsam,24,0.0577,93.08,0.2248,2061.2,0.02
muonsam,25,0.0572,93.15,0.2216,2170.5,0.02
muonsam,26,0.0518,93.08,0.2267,2279.7,0.02
muonsam,27,0.0541,93.27,0.2294,2388.9,0.02
muonsam,28,0.0506,93.33,0.2186,2498.2,0.02
muonsam,29,0.0451,92.78,0.2290,2607.4,0.02
muonsam,30,0.0470,93.18,0.2130,2716.8,0.02
muonsam,31,0.0433,93.12,0.2256,2825.9,0.02
muonsam,32,0.0414,93.20,0.2216,2935.1,0.02
muonsam,33,0.0403,92.93,0.2280,3044.1,0.02
muonsam,34,0.0367,93.70,0.2155,3153.3,0.02
muonsam,35,0.0382,93.46,0.2146,3262.6,0.02
