# dataset=cifar100 px=32 epochs=50 seed=1 batch=128 wd=0.0005 rho_max=1.6 rho_aux=0.01 torch=2.10.0+cu128
optimizer,epoch,train_loss,test_acc,test_loss,time_s,lr
muonsam,1,3.0789,39.19,2.3024,66.2,0.02
muonsam,2,1.8863,52.27,1.7559,132.3,0.02
muonsam,3,1.4672,57.02,1.5597,198.6,0.02
muonsam,4,1.2171,62.01,1.3796,264.6,0.02
muonsam,5,1.0266,62.74,1.3997,330.7,0.02
muonsam,6,0.8829,65.46,1.2728,396.9,0.02
muonsam,7,0.7567,67.02,1.2324,463.0,0.02
muonsam,8,0.6551,67.69,1.2510,529.0,0.02
muonsam,9,0.5618,68.25,1.2827,595.1,0.02
muonsam,10,0.4815,68.39,1.2766,661.2,0.02
muonsam,11,0.4249,68.75,1.3301,727.3,0.02
muonsam,12,0.3705,69.92,1.3426,793.3,0.02
muonsam,13,0.3290,69.78,1.3462,859.4,0.02
muonsam,14,0.2942,69.35,1.4265,925.5,0.02
muonsam,15,0.2649,70.32,1.4090,991.6,0.02
muonsam,16,0.2430,71.11,1.2346,1092.2,0.02
muonsam,17,0.2606,72.08,1.0206,1193.2,0.02
muonsam,18,0.3239,73.02,0.9473,1294.1,0.02
muonsam,19,0.4217,72.44,0.9683,1395.0,0.02
muonsam,20,0.5154,72.57,0.9901,1496.0,0.02
muonsam,21,0.5901,71.76,1.0238,1596.9,0.02
muonsam,22,0.6368,71.49,1.0463,1697.8,0.02
muonsam,23,0.6555,71.98,1.0424,1798.8,0.02
muonsam,24,0.6479,72.11,1.0524,1899.7,0.02
muonsam,25,0.6397,72.99,1.0428,2000.8,0.02
muonsam,26,0.6069,73.15,1.0162,2101.7,0.02
muonsam,27,0.5389,73.50,0.9744,2202.7,0.02
muonsam,28,0.4252,74.03,0.9340,2303.7,0.02
muonsam,29,0.2963,74.42,0.9343,2404.5,0.02
muonsam,30,0.2354,74.12,0.9461,2505.6,0.02
muonsam,31,0.1968,74.53,0.9515,2606.4,0.02
muonsam,32,0.1752,74.14,1.0213,2707.3,0.02
muonsam,33,0.1548,73.99,1.0165,2808.3,0.02
muonsam,34,0.1449,73.44,1.1064,2909.2,0.02
muonsam,35,0.1327,73.15,1.0492,3010.3,0.02
muonsam,36,0.1334,73.40,1.1498,3111.1,0.02
muonsam,37,0.1268,73.54,1.0851,3212.1,0.02
muonsam,38,0.1140,73.37,1.1614,3313.0,0.02
muonsam,39,0.1056,73.25,1.2543,3413.8,0.02
muonsam,40,0.1075,73.23,1.1806,3514.9,0.02
muonsam,41,0.1057,73.03,1.2028,3615.8,0.02
muonsam,42,0.1044,73.58,1.2767,3716.7,0.02
muonsam,43,0.0983,73.42,1.3220,3817.5,0.02
muonsam,44,0.0992,73.40,1.3677,3918.4,0.02
muonsam,45,0.0932,73.38,1.2864,4019.3,0.02
muonsam,46,0.0919,72.86,1.3208,4120.1,0.02
muonsam,47,0.0822,73.64,1.4044,4221.0,0.02
muonsam,48,0.0888,74.03,1.3918,4321.8,0.02
muonsam,49,0.0836,73.38,1.4224,4422.7,0.02
muonsam,50,0.0834,73.44,1.3884,4523.6,0.02
