# dataset=cifar100 px=32 epochs=50 seed=2 batch=128 wd=0.0005 rho_max=0.8 rho_aux=0.01 torch=2.10.0+cu128
optimizer,epoch,train_loss,test_acc,test_loss,time_s,lr
muonsam,1,3.0600,38.45,2.3561,64.7,0.02
muonsam,2,1.8853,51.27,1.7842,130.3,0.02
muonsam,3,1.4662,57.98,1.4958,197.0,0.02
muonsam,4,1.2161,60.36,1.4509,263.8,0.02
muonsam,5,1.0270,62.34,1.3548,330.5,0.02
muonsam,6,0.8791,65.41,1.2862,397.2,0.02
muonsam,7,0.7524,66.71,1.2681,464.0,0.02
muonsam,8,0.6505,68.87,1.1847,530.8,0.02
muonsam,9,0.5681,68.21,1.2666,597.5,0.02
muonsam,10,0.4846,69.63,1.2190,664.2,0.02
muonsam,11,0.4189,68.18,1.3326,730.8,0.02
muonsam,12,0.3674,69.35,1.3335,797.4,0.02
muonsam,13,0.3194,68.43,1.4059,863.9,0.02
muonsam,14,0.2948,69.05,1.4392,930.5,0.02
muonsam,15,0.2613,69.46,1.4312,997.1,0.02
muonsam,16,0.2420,69.74,1.3101,1098.7,0.02
muonsam,17,0.2288,70.98,1.1452,1200.4,0.02
muonsam,18,0.2435,71.96,1.0026,1302.1,0.02
muonsam,19,0.2690,72.20,0.9661,1403.9,0.02
muonsam,20,0.3009,72.85,0.9434,1505.9,0.02
muonsam,21,0.3311,73.00,0.9260,1607.7,0.02
muonsam,22,0.3570,73.44,0.9325,1709.5,0.02
muonsam,23,0.3734,73.38,0.9415,1811.2,0.02
muonsam,24,0.3782,72.81,0.9469,1913.0,0.02
muonsam,25,0.3870,72.95,0.9450,2015.0,0.02
muonsam,26,0.3871,73.78,0.9276,2116.6,0.02
muonsam,27,0.3938,73.90,0.9275,2218.3,0.02
muonsam,28,0.3941,73.38,0.9475,2320.2,0.02
muonsam,29,0.3941,74.20,0.9264,2421.8,0.02
muonsam,30,0.3756,73.89,0.9344,2523.7,0.02
muonsam,31,0.3674,73.94,0.9204,2625.6,0.02
muonsam,32,0.3532,73.93,0.9302,2727.3,0.02
muonsam,33,0.3427,74.20,0.9111,2829.0,0.02
muonsam,34,0.3082,75.15,0.8909,2930.7,0.02
muonsam,35,0.2930,74.47,0.9110,3032.5,0.02
muonsam,36,0.2612,75.30,0.8829,3134.2,0.02
muonsam,37,0.2143,75.26,0.9018,3235.9,0.02
muonsam,38,0.1676,75.18,0.9157,3337.6,0.02
muonsam,39,0.1383,75.40,0.9636,3439.4,0.02
muonsam,40,0.1116,74.44,0.9945,3541.2,0.02
muonsam,41,0.0943,74.99,1.0213,3643.0,0.02
muonsam,42,0.0853,74.32,1.0492,3744.6,0.02
muonsam,43,0.0795,74.84,1.1066,3846.3,0.02
muonsam,44,0.0750,74.85,1.1423,3948.1,0.02
muonsam,45,0.0723,74.90,1.2585,4049.9,0.02
muonsam,46,0.0681,74.97,1.1664,4151.7,0.02
muonsam,47,0.0676,74.28,1.1919,4253.3,0.02
muonsam,48,0.0651,74.72,1.2180,4355.0,0.02
muonsam,49,0.0674,74.01,1.2795,4456.8,0.02
muonsam,50,0.0617,74.13,1.1643,4558.6,0.02
