# dataset=imagenette px=64 epochs=50 seed=0 batch=128 wd=0.0005 rho_max=0.05 rho_aux=0.01 torch=2.10.0+cu128
optimizer,epoch,train_loss,test_acc,test_loss,time_s,lr
muonsam,1,1.4108,55.67,1.4597,39.2,0.02
muonsam,2,0.9117,62.09,1.1877,78.6,0.02
muonsam,3,0.7265,74.96,0.8067,118.1,0.02
muonsam,4,0.5958,82.06,0.5746,157.4,0.02
muonsam,5,0.5097,81.50,0.5685,196.6,0.02
muonsam,6,0.4455,81.02,0.5939,235.6,0.02
muonsam,7,0.4126,84.25,0.4957,274.9,0.02
muonsam,8,0.3708,86.39,0.4424,314.4,0.02
muonsam,9,0.3183,84.43,0.4903,353.8,0.02
muonsam,10,0.2910,85.10,0.4921,393.4,0.02
muonsam,11,0.2739,86.01,0.4782,433.0,0.02
muonsam,12,0.2520,83.87,0.5413,472.5,0.02
muonsam,13,0.2208,85.81,0.5247,511.8,0.02
muonsam,14,0.2014,87.59,0.4325,551.1,0.02
muonsam,15,0.1900,87.03,0.4667,590.5,0.02
muonsam,16,0.1752,88.25,0.4072,640.5,0.02
muonsam,17,0.1804,88.18,0.3800,691.0,0.02
muonsam,18,0.1638,87.26,0.3917,741.4,0.02
muonsam,19,0.1980,89.27,0.3628,791.8,0.02
muonsam,20,0.2060,89.50,0.3391,842.3,0.02
muonsam,21,0.1787,89.86,0.3407,892.5,0.02
muonsam,22,0.1677,90.32,0.3262,943.2,0.02
muonsam,23,0.1569,88.87,0.3557,993.9,0.02
muonsam,24,0.1631,88.38,0.3688,1044.5,0.02
muonsam,25,0.1379,90.45,0.3135,1094.7,0.02
muonsam,26,0.1273,88.87,0.3502,1144.5,0.02
muonsam,27,0.1192,88.33,0.3755,1194.9,0.02
muonsam,28,0.1217,90.01,0.3184,1245.4,0.02
muonsam,29,0.1152,89.86,0.3191,1295.9,0.02
muonsam,30,0.1143,89.04,0.3528,1346.7,0.02
muonsam,31,0.1043,90.50,0.3128,1396.4,0.02
muonsam,32,0.1053,89.35,0.3440,1447.1,0.02
muonsam,33,0.0897,89.86,0.3249,1497.3,0.02
muonsam,34,0.0964,90.34,0.3138,1547.6,0.02
muonsam,35,0.0834,89.81,0.3328,1598.2,0.02
muonsam,36,0.0938,89.68,0.3275,1648.0,0.02
muonsam,37,0.0865,89.22,0.3510,1698.2,0.02
muonsam,38,0.0826,89.76,0.3281,1748.5,0.02
muonsam,39,0.0813,89.25,0.3342,1799.1,0.02
muonsam,40,0.0821,90.22,0.3161,1849.2,0.02
muonsam,41,0.0752,90.06,0.3339,1899.3,0.02
muonsam,42,0.0748,90.27,0.3184,1949.9,0.02
muonsam,43,0.0686,90.04,0.3329,2000.4,0.02
muonsam,44,0.0596,90.65,0.2950,2050.9,0.02
muonsam,45,0.0686,90.73,0.3055,2101.4,0.02
muonsam,46,0.0676,90.68,0.2946,2151.5,0.02
muonsam,47,0.0697,90.57,0.2870,2201.9,0.02
muonsam,48,0.0659,91.13,0.2797,2252.1,0.02
muonsam,49,0.0669,90.65,0.3104,2302.5,0.02
muonsam,50,0.0584,91.01,0.2993,2353.3,0.02
