# dataset=imagenette px=64 epochs=50 seed=2 batch=128 wd=0.0005 rho_max=1.6 rho_aux=0.01 torch=2.10.0+cu128
optimizer,epoch,train_loss,test_acc,test_loss,time_s,lr
muonsam,1,1.4437,52.51,1.9194,38.0,0.02
muonsam,2,0.9100,66.75,1.1390,76.2,0.02
muonsam,3,0.7329,76.87,0.7272,114.4,0.02
muonsam,4,0.6147,74.62,0.8452,152.8,0.02
muonsam,5,0.5139,78.50,0.7083,191.1,0.02
muonsam,6,0.4669,84.41,0.5090,229.5,0.02
muonsam,7,0.3992,83.82,0.5270,267.9,0.02
muonsam,8,0.3577,85.38,0.4656,306.3,0.02
muonsam,9,0.3159,84.31,0.5152,344.8,0.02
muonsam,10,0.2908,84.43,0.5161,383.2,0.02
muonsam,11,0.2495,86.52,0.4602,421.6,0.02
muonsam,12,0.2347,85.91,0.4674,459.9,0.02
muonsam,13,0.2309,84.69,0.5398,498.1,0.02
muonsam,14,0.2052,87.01,0.4572,536.4,0.02
muonsam,15,0.1774,85.71,0.5019,574.9,0.02
muonsam,16,0.1812,87.21,0.4348,623.6,0.02
muonsam,17,0.2037,89.02,0.3511,672.7,0.02
muonsam,18,0.2772,87.59,0.4355,721.6,0.02
muonsam,19,0.3399,88.69,0.4240,770.7,0.02
muonsam,20,0.3506,86.24,0.4917,819.8,0.02
muonsam,21,0.3517,88.28,0.4169,868.5,0.02
muonsam,22,0.3476,89.40,0.3971,917.7,0.02
muonsam,23,0.3181,89.25,0.4306,966.9,0.02
muonsam,24,0.3218,89.71,0.3981,1016.1,0.02
muonsam,25,0.2885,88.46,0.4153,1065.1,0.02
muonsam,26,0.2947,89.68,0.3950,1113.8,0.02
muonsam,27,0.2490,88.59,0.3892,1163.0,0.02
muonsam,28,0.2227,89.78,0.3601,1211.8,0.02
muonsam,29,0.2151,89.27,0.3560,1260.5,0.02
muonsam,30,0.1891,90.14,0.3435,1309.5,0.02
muonsam,31,0.1741,89.73,0.3257,1358.2,0.02
muonsam,32,0.1537,90.34,0.3036,1407.4,0.02
muonsam,33,0.1292,90.24,0.3135,1456.3,0.02
muonsam,34,0.1174,89.94,0.3064,1504.8,0.02
muonsam,35,0.1104,89.78,0.3237,1553.6,0.02
muonsam,36,0.0961,90.47,0.3002,1602.2,0.02
muonsam,37,0.0891,90.83,0.2896,1651.0,0.02
muonsam,38,0.0887,89.55,0.3258,1699.8,0.02
muonsam,39,0.0751,90.22,0.3011,1748.6,0.02
muonsam,40,0.0771,90.24,0.3119,1797.5,0.02
muonsam,41,0.0731,90.34,0.3106,1846.0,0.02
muonsam,42,0.0693,90.42,0.3013,1894.8,0.02
muonsam,43,0.0632,89.76,0.3131,1943.7,0.02
muonsam,44,0.0634,90.06,0.3343,1992.7,0.02
muonsam,45,0.0689,89.76,0.3257,2041.5,0.02
muonsam,46,0.0689,90.14,0.3134,2089.7,0.02
muonsam,47,0.0667,90.06,0.3357,2138.4,0.02
muonsam,48,0.0634,90.60,0.3121,2187.2,0.02
muonsam,49,0.0637,89.02,0.3547,2236.2,0.02
muonsam,50,0.0616,89.99,0.3279,2285.3,0.02
