# dataset=cifar10 px=32 epochs=50 seed=1 batch=128 wd=0.0005 rho_max=0.1 rho_aux=0.01 torch=2.10.0+cu128
optimizer,epoch,train_loss,test_acc,test_loss,time_s,lr
muonsam,1,1.0491,74.24,0.8076,65.8,0.02
muonsam,2,0.5494,82.90,0.5015,135.7,0.02
muonsam,3,0.4148,84.99,0.4457,205.3,0.02
muonsam,4,0.3399,87.42,0.3835,275.4,0.02
muonsam,5,0.2886,88.43,0.3447,345.6,0.02
muonsam,6,0.2468,88.84,0.3529,415.8,0.02
muonsam,7,0.2155,89.67,0.3219,485.9,0.02
muonsam,8,0.1858,89.37,0.3581,555.9,0.02
muonsam,9,0.1697,90.71,0.3178,625.9,0.02
muonsam,10,0.1493,89.69,0.3601,695.9,0.02
muonsam,11,0.1346,91.29,0.2918,765.9,0.02
muonsam,12,0.1231,90.98,0.3192,835.9,0.02
muonsam,13,0.1139,91.47,0.2993,906.0,0.02
muonsam,14,0.1029,91.41,0.3120,976.1,0.02
muonsam,15,0.0961,91.78,0.2974,1046.1,0.02
muonsam,16,0.0836,92.67,0.2272,1152.0,0.02
muonsam,17,0.0875,92.81,0.2054,1258.1,0.02
muonsam,18,0.0836,92.14,0.2396,1364.3,0.02
muonsam,19,0.0801,92.77,0.2213,1470.0,0.02
muonsam,20,0.0756,93.31,0.2139,1576.0,0.02
muonsam,21,0.0676,93.17,0.2135,1681.7,0.02
muonsam,22,0.0673,93.02,0.2214,1787.6,0.02
muonsam,23,0.0614,93.17,0.2223,1893.5,0.02
muonsam,24,0.0611,93.03,0.2175,1999.5,0.02
muonsam,25,0.0585,93.33,0.2110,2105.4,0.02
muonsam,26,0.0561,92.90,0.2243,2211.5,0.02
muonsam,27,0.0529,93.25,0.2296,2317.6,0.02
muonsam,28,0.0517,92.92,0.2205,2423.8,0.02
muonsam,29,0.0496,93.40,0.2118,2529.9,0.02
muonsam,30,0.0458,93.36,0.2104,2636.1,0.02
muonsam,31,0.0449,93.39,0.1993,2742.0,0.02
muonsam,32,0.0421,93.57,0.2079,2848.0,0.02
muonsam,33,0.0420,93.69,0.1991,2953.9,0.02
muonsam,34,0.0382,93.75,0.2068,3059.8,0.02
muonsam,35,0.0392,93.70,0.2049,3165.9,0.02
muonsam,36,0.0377,93.93,0.1860,3271.9,0.02
muonsam,37,0.0353,93.57,0.2062,3377.6,0.02
muonsam,38,0.0348,93.93,0.1982,3483.3,0.02
muonsam,39,0.0338,93.84,0.2017,3589.0,0.02
muonsam,40,0.0323,93.94,0.1960,3694.9,0.02
muonsam,41,0.0304,93.97,0.1983,3800.6,0.02
muonsam,42,0.0308,93.71,0.2036,3906.2,0.02
muonsam,43,0.0300,93.95,0.1951,4011.8,0.02
muonsam,44,0.0289,94.41,0.1836,4117.3,0.02
muonsam,45,0.0295,94.32,0.1793,4223.1,0.02
muonsam,46,0.0279,94.07,0.1841,4328.6,0.02
muonsam,47,0.0258,93.76,0.2072,4434.0,0.02
muonsam,48,0.0268,94.28,0.1923,4539.4,0.02
muonsam,49,0.0263,94.12,0.1978,4644.9,0.02
muonsam,50,0.0262,94.07,0.1861,4750.2,0.02
