# train_loss is the mean over the preceding 50 batches
optimizer,step,train_loss,lr
muonsam,50,1.7915,0.02
muonsam,100,1.3399,0.02
muonsam,150,1.1351,0.02
muonsam,200,0.9571,0.02
muonsam,250,0.8578,0.02
muonsam,300,0.7883,0.02
muonsam,350,0.6964,0.02
muonsam,400,0.6728,0.02
muonsam,450,0.5925,0.02
muonsam,500,0.5737,0.02
muonsam,550,0.5759,0.02
muonsam,600,0.5574,0.02
muonsam,650,0.5178,0.02
muonsam,700,0.5138,0.02
muonsam,750,0.5103,0.02
muonsam,800,0.4785,0.02
muonsam,850,0.4482,0.02
muonsam,900,0.4265,0.02
muonsam,950,0.4202,0.02
muonsam,1000,0.4113,0.02
muonsam,1050,0.4172,0.02
muonsam,1100,0.4045,0.02
muonsam,1150,0.3820,0.02
muonsam,1200,0.3686,0.02
muonsam,1250,0.3268,0.02
muonsam,1300,0.3478,0.02
muonsam,1350,0.3381,0.02
muonsam,1400,0.3471,0.02
muonsam,1450,0.3356,0.02
muonsam,1500,0.3418,0.02
muonsam,1550,0.3435,0.02
muonsam,1600,0.3091,0.02
muonsam,1650,0.2874,0.02
muonsam,1700,0.2864,0.02
muonsam,1750,0.2810,0.02
muonsam,1800,0.2821,0.02
muonsam,1850,0.2858,0.02
muonsam,1900,0.3035,0.02
muonsam,1950,0.2788,0.02
muonsam,2000,0.2238,0.02
muonsam,2050,0.2536,0.02
muonsam,2100,0.2464,0.02
muonsam,2150,0.2454,0.02
muonsam,2200,0.2417,0.02
muonsam,2250,0.2411,0.02
muonsam,2300,0.2547,0.02
muonsam,2350,0.2403,0.02
muonsam,2400,0.2074,0.02
muonsam,2450,0.2069,0.02
muonsam,2500,0.1898,0.02
muonsam,2550,0.2079,0.02
muonsam,2600,0.2069,0.02
muonsam,2650,0.2403,0.02
muonsam,2700,0.2261,0.02
muonsam,2750,0.2115,0.02
muonsam,2800,0.1867,0.02
muonsam,2850,0.1680,0.02
muonsam,2900,0.1925,0.02
muonsam,2950,0.1939,0.02
muonsam,3000,0.1897,0.02
muonsam,3050,0.1939,0.02
muonsam,3100,0.1995,0.02
muonsam,3150,0.1821,0.02
muonsam,3200,0.1466,0.02
muonsam,3250,0.1516,0.02
muonsam,3300,0.1637,0.02
muonsam,3350,0.1719,0.02
muonsam,3400,0.1592,0.02
muonsam,3450,0.1986,0.02
