# train_loss is the mean over the preceding 50 batches
optimizer,step,train_loss,lr
muon,50,1.5406,0.02
muon,100,1.0412,0.02
muon,150,0.8372,0.02
muon,200,0.6933,0.02
muon,250,0.5979,0.02
muon,300,0.5699,0.02
muon,350,0.4612,0.02
muon,400,0.4542,0.02
muon,450,0.4281,0.02
muon,500,0.3738,0.02
muon,550,0.3215,0.02
muon,600,0.3076,0.02
muon,650,0.2848,0.02
muon,700,0.2663,0.02
muon,750,0.2634,0.02
muon,800,0.2276,0.02
muon,850,0.2065,0.02
muon,900,0.2068,0.02
muon,950,0.2028,0.02
muon,1000,0.1863,0.02
muon,1050,0.1740,0.02
muon,1100,0.1535,0.02
muon,1150,0.1471,0.02
muon,1200,0.1509,0.02
muon,1250,0.1295,0.02
muon,1300,0.1355,0.02
muon,1350,0.1319,0.02
muon,1400,0.1296,0.02
muon,1450,0.1224,0.02
muon,1500,0.1274,0.02
muon,1550,0.1139,0.02
muon,1600,0.1164,0.02
muon,1650,0.1015,0.02
muon,1700,0.1030,0.02
muon,1750,0.0918,0.02
muon,1800,0.0921,0.02
muon,1850,0.0857,0.02
muon,1900,0.0840,0.02
muon,1950,0.0861,0.02
muon,2000,0.0781,0.02
muon,2050,0.0812,0.02
muon,2100,0.0824,0.02
muon,2150,0.0844,0.02
muon,2200,0.0784,0.02
muon,2250,0.0751,0.02
muon,2300,0.0797,0.02
muon,2350,0.0669,0.02
muon,2400,0.0641,0.02
muon,2450,0.0642,0.02
muon,2500,0.0624,0.02
muon,2550,0.0694,0.02
muon,2600,0.0738,0.02
muon,2650,0.0689,0.02
muon,2700,0.0574,0.02
muon,2750,0.0539,0.02
muon,2800,0.0536,0.02
muon,2850,0.0618,0.02
muon,2900,0.0669,0.02
muon,2950,0.0606,0.02
muon,3000,0.0523,0.02
muon,3050,0.0538,0.02
muon,3100,0.0640,0.02
muon,3150,0.0521,0.02
muon,3200,0.0580,0.02
muon,3250,0.0484,0.02
muon,3300,0.0475,0.02
muon,3350,0.0486,0.02
muon,3400,0.0479,0.02
muon,3450,0.0548,0.02
muon,3500,0.0462,0.02
muon,3550,0.0479,0.02
muon,3600,0.0438,0.02
muon,3650,0.0493,0.02
muon,3700,0.0496,0.02
muonsam,50,1.5344,0.02
muonsam,100,1.0364,0.02
muonsam,150,0.8405,0.02
muonsam,200,0.6957,0.02
muonsam,250,0.5998,0.02
muonsam,300,0.5763,0.02
muonsam,350,0.4715,0.02
muonsam,400,0.4542,0.02
muonsam,450,0.4283,0.02
muonsam,500,0.3768,0.02
muonsam,550,0.3392,0.02
muonsam,600,0.3090,0.02
muonsam,650,0.2897,0.02
muonsam,700,0.2676,0.02
muonsam,750,0.2644,0.02
muonsam,800,0.2172,0.02
muonsam,850,0.2069,0.02
muonsam,900,0.1998,0.02
muonsam,950,0.2074,0.02
muonsam,1000,0.1826,0.02
muonsam,1050,0.1741,0.02
muonsam,1100,0.1537,0.02
muonsam,1150,0.1472,0.02
muonsam,1200,0.1525,0.02
muonsam,1250,0.1426,0.02
muonsam,1300,0.1401,0.02
muonsam,1350,0.1414,0.02
muonsam,1400,0.1546,0.02
muonsam,1450,0.1583,0.02
muonsam,1500,0.1793,0.02
muonsam,1550,0.1812,0.02
muonsam,1600,0.1748,0.02
muonsam,1650,0.1624,0.02
muonsam,1700,0.1590,0.02
muonsam,1750,0.1437,0.02
muonsam,1800,0.1292,0.02
muonsam,1850,0.1275,0.02
muonsam,1900,0.1212,0.02
muonsam,1950,0.1240,0.02
muonsam,2000,0.1183,0.02
muonsam,2050,0.0960,0.02
muonsam,2100,0.0990,0.02
muonsam,2150,0.0971,0.02
muonsam,2200,0.0936,0.02
muonsam,2250,0.0947,0.02
muonsam,2300,0.0988,0.02
muonsam,2350,0.0820,0.02
muonsam,2400,0.0883,0.02
muonsam,2450,0.0807,0.02
muonsam,2500,0.0717,0.02
muonsam,2550,0.0918,0.02
muonsam,2600,0.0863,0.02
muonsam,2650,0.0762,0.02
muonsam,2700,0.0671,0.02
muonsam,2750,0.0650,0.02
muonsam,2800,0.0682,0.02
muonsam,2850,0.0626,0.02
muonsam,2900,0.0622,0.02
muonsam,2950,0.0620,0.02
muonsam,3000,0.0594,0.02
muonsam,3050,0.0532,0.02
muonsam,3100,0.0585,0.02
muonsam,3150,0.0563,0.02
muonsam,3200,0.0587,0.02
muonsam,3250,0.0543,0.02
muonsam,3300,0.0577,0.02
muonsam,3350,0.0593,0.02
muonsam,3400,0.0607,0.02
muonsam,3450,0.0547,0.02
muonsam,3500,0.0511,0.02
muonsam,3550,0.0620,0.02
muonsam,3600,0.0480,0.02
muonsam,3650,0.0584,0.02
muonsam,3700,0.0544,0.02
