# train_loss is the mean over the preceding 50 batches
optimizer,step,train_loss,lr
muonsam_nomom,50,1.6506,0.02
muonsam_nomom,100,1.1287,0.02
muonsam_nomom,150,0.9538,0.02
muonsam_nomom,200,0.8397,0.02
muonsam_nomom,250,0.7304,0.02
muonsam_nomom,300,0.7074,0.02
muonsam_nomom,350,0.6110,0.02
muonsam_nomom,400,0.5702,0.02
muonsam_nomom,450,0.5624,0.02
muonsam_nomom,500,0.4964,0.02
muonsam_nomom,550,0.4671,0.02
muonsam_nomom,600,0.4318,0.02
muonsam_nomom,650,0.4182,0.02
muonsam_nomom,700,0.3844,0.02
muonsam_nomom,750,0.3682,0.02
muonsam_nomom,800,0.3331,0.02
muonsam_nomom,850,0.3051,0.02
muonsam_nomom,900,0.3098,0.02
muonsam_nomom,950,0.3008,0.02
muonsam_nomom,1000,0.2774,0.02
muonsam_nomom,1050,0.2649,0.02
muonsam_nomom,1100,0.2452,0.02
muonsam_nomom,1150,0.2379,0.02
muonsam_nomom,1200,0.2654,0.02
muonsam_nomom,1250,0.2891,0.02
muonsam_nomom,1300,0.3212,0.02
muonsam_nomom,1350,0.3627,0.02
muonsam_nomom,1400,0.3547,0.02
muonsam_nomom,1450,0.3595,0.02
muonsam_nomom,1500,0.3596,0.02
muonsam_nomom,1550,0.3423,0.02
muonsam_nomom,1600,0.3285,0.02
muonsam_nomom,1650,0.3232,0.02
muonsam_nomom,1700,0.3412,0.02
muonsam_nomom,1750,0.3227,0.02
muonsam_nomom,1800,0.3144,0.02
muonsam_nomom,1850,0.3221,0.02
muonsam_nomom,1900,0.3011,0.02
muonsam_nomom,1950,0.3114,0.02
muonsam_nomom,2000,0.3006,0.02
muonsam_nomom,2050,0.2707,0.02
muonsam_nomom,2100,0.3072,0.02
muonsam_nomom,2150,0.2853,0.02
muonsam_nomom,2200,0.2705,0.02
muonsam_nomom,2250,0.2693,0.02
muonsam_nomom,2300,0.2947,0.02
muonsam_nomom,2350,0.2814,0.02
muonsam_nomom,2400,0.2633,0.02
muonsam_nomom,2450,0.2599,0.02
muonsam_nomom,2500,0.2467,0.02
muonsam_nomom,2550,0.2652,0.02
muonsam_nomom,2600,0.2513,0.02
muonsam_nomom,2650,0.2390,0.02
