# train_loss is the mean over the preceding 50 batches
optimizer,step,train_loss,lr
adamw,50,1.8416,0.001
adamw,100,1.4203,0.001
adamw,150,1.2478,0.001
adamw,200,1.1275,0.001
adamw,250,1.0466,0.001
adamw,300,1.0115,0.001
adamw,350,0.9321,0.001
adamw,400,0.8892,0.001
adamw,450,0.8459,0.001
adamw,500,0.8092,0.001
adamw,550,0.8242,0.001
adamw,600,0.7707,0.001
adamw,650,0.7197,0.001
adamw,700,0.7123,0.001
adamw,750,0.6817,0.001
adamw,800,0.6506,0.001
adamw,850,0.6380,0.001
adamw,900,0.6483,0.001
adamw,950,0.5987,0.001
adamw,1000,0.5646,0.001
adamw,1050,0.5578,0.001
adamw,1100,0.5535,0.001
adamw,1150,0.5466,0.001
adamw,1200,0.5263,0.001
adamw,1250,0.5102,0.001
adamw,1300,0.5054,0.001
adamw,1350,0.4845,0.001
adamw,1400,0.4671,0.001
adamw,1450,0.4381,0.001
adamw,1500,0.4597,0.001
adamw,1550,0.4235,0.001
adamw,1600,0.4040,0.001
adamw,1650,0.3964,0.001
adamw,1700,0.4369,0.001
adamw,1750,0.4063,0.001
adamw,1800,0.4082,0.001
adamw,1850,0.3810,0.001
adamw,1900,0.3545,0.001
adamw,1950,0.4023,0.001
adamw,2000,0.3610,0.001
adamw,2050,0.3271,0.001
adamw,2100,0.3587,0.001
adamw,2150,0.3498,0.001
adamw,2200,0.3441,0.001
adamw,2250,0.3363,0.001
adamw,2300,0.3211,0.001
adamw,2350,0.2828,0.001
adamw,2400,0.2914,0.001
adamw,2450,0.3072,0.001
adamw,2500,0.3043,0.001
adamw,2550,0.2853,0.001
adamw,2600,0.2764,0.001
adamw,2650,0.2863,0.001
adamw,2700,0.2582,0.001
adamw,2750,0.2716,0.001
adamw,2800,0.2675,0.001
adamw,2850,0.2596,0.001
adamw,2900,0.2483,0.001
adamw,2950,0.2635,0.001
adamw,3000,0.2454,0.001
adamw,3050,0.2396,0.001
adamw,3100,0.2316,0.001
adamw,3150,0.2170,0.001
adamw,3200,0.2140,0.001
adamw,3250,0.2039,0.001
adamw,3300,0.2160,0.001
adamw,3350,0.2288,0.001
adamw,3400,0.2125,0.001
adamw,3450,0.2087,0.001
adamw,3500,0.2247,0.001
adamw,3550,0.1858,0.001
adamw,3600,0.2031,0.001
adamw,3650,0.2032,0.001
adamw,3700,0.1749,0.001
muon,50,1.5936,0.02
muon,100,1.0277,0.02
muon,150,0.8757,0.02
muon,200,0.7163,0.02
muon,250,0.6537,0.02
muon,300,0.5874,0.02
muon,350,0.4984,0.02
muon,400,0.4733,0.02
muon,450,0.4451,0.02
muon,500,0.3971,0.02
muon,550,0.3825,0.02
muon,600,0.3565,0.02
muon,650,0.3153,0.02
muon,700,0.3145,0.02
muon,750,0.2823,0.02
muon,800,0.2745,0.02
muon,850,0.2415,0.02
muon,900,0.2574,0.02
muon,950,0.2311,0.02
muon,1000,0.2021,0.02
muon,1050,0.2022,0.02
muon,1100,0.1780,0.02
muon,1150,0.1764,0.02
muon,1200,0.1707,0.02
muon,1250,0.1705,0.02
muon,1300,0.1632,0.02
muon,1350,0.1445,0.02
muon,1400,0.1499,0.02
muon,1450,0.1280,0.02
muon,1500,0.1403,0.02
muon,1550,0.1348,0.02
muon,1600,0.1085,0.02
muon,1650,0.1077,0.02
muon,1700,0.1279,0.02
muon,1750,0.1028,0.02
muon,1800,0.1045,0.02
muon,1850,0.1153,0.02
muon,1900,0.0995,0.02
muon,1950,0.1086,0.02
muon,2000,0.0990,0.02
muon,2050,0.1028,0.02
muon,2100,0.0935,0.02
muon,2150,0.0834,0.02
muon,2200,0.0955,0.02
muon,2250,0.0926,0.02
muon,2300,0.0798,0.02
muon,2350,0.0735,0.02
muon,2400,0.0730,0.02
muon,2450,0.0840,0.02
muon,2500,0.0850,0.02
muon,2550,0.0729,0.02
muon,2600,0.0769,0.02
muon,2650,0.0776,0.02
muon,2700,0.0725,0.02
muon,2750,0.0637,0.02
muon,2800,0.0708,0.02
muon,2850,0.0701,0.02
muon,2900,0.0632,0.02
muon,2950,0.0689,0.02
muon,3000,0.0615,0.02
muon,3050,0.0648,0.02
muon,3100,0.0613,0.02
muon,3150,0.0548,0.02
muon,3200,0.0647,0.02
muon,3250,0.0581,0.02
muon,3300,0.0612,0.02
muon,3350,0.0560,0.02
muon,3400,0.0563,0.02
muon,3450,0.0586,0.02
muon,3500,0.0634,0.02
muon,3550,0.0573,0.02
muon,3600,0.0615,0.02
muon,3650,0.0560,0.02
muon,3700,0.0583,0.02
sam,50,2.4797,0.05
sam,100,1.8332,0.05
sam,150,1.6268,0.05
sam,200,1.4646,0.05
sam,250,1.3275,0.05
sam,300,1.2692,0.05
sam,350,1.1692,0.05
sam,400,1.1356,0.05
sam,450,1.0482,0.05
sam,500,1.0285,0.05
sam,550,1.0243,0.05
sam,600,0.9717,0.05
sam,650,0.9414,0.05
sam,700,0.8942,0.05
sam,750,0.8559,0.05
sam,800,0.8208,0.05
sam,850,0.8155,0.05
sam,900,0.8000,0.05
sam,950,0.7553,0.05
sam,1000,0.7248,0.05
sam,1050,0.6816,0.05
sam,1100,0.6897,0.05
sam,1150,0.6644,0.05
sam,1200,0.6427,0.05
sam,1250,0.6288,0.05
sam,1300,0.6374,0.05
sam,1350,0.5963,0.05
sam,1400,0.5816,0.05
sam,1450,0.5540,0.05
sam,1500,0.5700,0.05
sam,1550,0.5360,0.05
sam,1600,0.5067,0.05
sam,1650,0.5015,0.05
sam,1700,0.5227,0.05
sam,1750,0.4868,0.05
sam,1800,0.4975,0.05
sam,1850,0.4753,0.05
sam,1900,0.4419,0.05
sam,1950,0.4689,0.05
sam,2000,0.4345,0.05
sam,2050,0.4163,0.05
sam,2100,0.4283,0.05
sam,2150,0.4139,0.05
sam,2200,0.4192,0.05
sam,2250,0.4116,0.05
sam,2300,0.4047,0.05
sam,2350,0.3667,0.05
sam,2400,0.3751,0.05
sam,2450,0.3906,0.05
sam,2500,0.3708,0.05
sam,2550,0.3316,0.05
sam,2600,0.3529,0.05
sam,2650,0.3584,0.05
sam,2700,0.3250,0.05
sam,2750,0.3380,0.05
sam,2800,0.3198,0.05
sam,2850,0.3172,0.05
sam,2900,0.3128,0.05
sam,2950,0.3093,0.05
sam,3000,0.2874,0.05
sam,3050,0.2975,0.05
sam,3100,0.2832,0.05
sam,3150,0.2831,0.05
sam,3200,0.2728,0.05
sam,3250,0.2712,0.05
sam,3300,0.2760,0.05
sam,3350,0.2635,0.05
sam,3400,0.2561,0.05
sam,3450,0.2682,0.05
sam,3500,0.2642,0.05
sam,3550,0.2637,0.05
sam,3600,0.2496,0.05
sam,3650,0.2504,0.05
sam,3700,0.2361,0.05
muonsam,50,1.6038,0.02
muonsam,100,1.0409,0.02
muonsam,150,0.8757,0.02
muonsam,200,0.7209,0.02
