# train_loss is the mean over the preceding 50 batches
optimizer,step,train_loss,lr
muonsam,50,1.7717,0.02
muonsam,100,1.4037,0.02
muonsam,150,1.1409,0.02
muonsam,200,0.9799,0.02
muonsam,250,0.8614,0.02
muonsam,300,0.7757,0.02
muonsam,350,0.7148,0.02
muonsam,400,0.6503,0.02
muonsam,450,0.6217,0.02
muonsam,500,0.6073,0.02
muonsam,550,0.5674,0.02
muonsam,600,0.5492,0.02
muonsam,650,0.5419,0.02
muonsam,700,0.4836,0.02
muonsam,750,0.5016,0.02
muonsam,800,0.4628,0.02
muonsam,850,0.4257,0.02
muonsam,900,0.4216,0.02
muonsam,950,0.4200,0.02
muonsam,1000,0.4350,0.02
muonsam,1050,0.4024,0.02
muonsam,1100,0.4120,0.02
muonsam,1150,0.4020,0.02
muonsam,1200,0.3735,0.02
muonsam,1250,0.3404,0.02
muonsam,1300,0.3432,0.02
muonsam,1350,0.3367,0.02
muonsam,1400,0.3182,0.02
muonsam,1450,0.3289,0.02
muonsam,1500,0.3305,0.02
muonsam,1550,0.3291,0.02
muonsam,1600,0.2982,0.02
muonsam,1650,0.2793,0.02
muonsam,1700,0.2892,0.02
muonsam,1750,0.2721,0.02
muonsam,1800,0.2959,0.02
muonsam,1850,0.2894,0.02
muonsam,1900,0.2919,0.02
muonsam,1950,0.2945,0.02
muonsam,2000,0.2494,0.02
muonsam,2050,0.2275,0.02
muonsam,2100,0.2431,0.02
muonsam,2150,0.2420,0.02
muonsam,2200,0.2426,0.02
muonsam,2250,0.2507,0.02
muonsam,2300,0.2363,0.02
muonsam,2350,0.2534,0.02
muonsam,2400,0.1889,0.02
muonsam,2450,0.2089,0.02
muonsam,2500,0.2303,0.02
muonsam,2550,0.2253,0.02
muonsam,2600,0.2170,0.02
muonsam,2650,0.2186,0.02
muonsam,2700,0.2244,0.02
muonsam,2750,0.1982,0.02
muonsam,2800,0.1757,0.02
muonsam,2850,0.1638,0.02
muonsam,2900,0.1824,0.02
muonsam,2950,0.1848,0.02
muonsam,3000,0.2009,0.02
muonsam,3050,0.1952,0.02
muonsam,3100,0.1842,0.02
muonsam,3150,0.1864,0.02
muonsam,3200,0.1573,0.02
muonsam,3250,0.1700,0.02
muonsam,3300,0.1563,0.02
muonsam,3350,0.1621,0.02
muonsam,3400,0.1760,0.02
muonsam,3450,0.1677,0.02
muonsam,3500,0.1761,0.02
muonsam,3550,0.1478,0.02
muonsam,3600,0.1485,0.02
muonsam,3650,0.1439,0.02
muonsam,3700,0.1401,0.02
muonsam,3750,0.1620,0.02
muonsam,3800,0.1452,0.02
muonsam,3850,0.1482,0.02
muonsam,3900,0.1627,0.02
muonsam,3950,0.1259,0.02
muonsam,4000,0.1288,0.02
muonsam,4050,0.1222,0.02
muonsam,4100,0.1389,0.02
muonsam,4150,0.1327,0.02
muonsam,4200,0.1345,0.02
muonsam,4250,0.1489,0.02
muonsam,4300,0.1441,0.02
muonsam,4350,0.1078,0.02
muonsam,4400,0.1164,0.02
muonsam,4450,0.1166,0.02
muonsam,4500,0.1233,0.02
muonsam,4550,0.1291,0.02
muonsam,4600,0.1139,0.02
muonsam,4650,0.1315,0.02
muonsam,4700,0.1214,0.02
muonsam,4750,0.1093,0.02
muonsam,4800,0.1164,0.02
muonsam,4850,0.1020,0.02
muonsam,4900,0.1061,0.02
muonsam,4950,0.1032,0.02
muonsam,5000,0.1101,0.02
muonsam,5050,0.1143,0.02
muonsam,5100,0.1158,0.02
muonsam,5150,0.1012,0.02
muonsam,5200,0.0962,0.02
muonsam,5250,0.1081,0.02
muonsam,5300,0.1013,0.02
muonsam,5350,0.1076,0.02
muonsam,5400,0.0955,0.02
muonsam,5450,0.1145,0.02
muonsam,5500,0.0921,0.02
muonsam,5550,0.0957,0.02
muonsam,5600,0.0814,0.02
muonsam,5650,0.0936,0.02
muonsam,5700,0.1012,0.02
muonsam,5750,0.1040,0.02
muonsam,5800,0.0929,0.02
muonsam,5850,0.1043,0.02
muonsam,5900,0.0808,0.02
muonsam,5950,0.0783,0.02
muonsam,6000,0.0764,0.02
muonsam,6050,0.0768,0.02
muonsam,6100,0.0841,0.02
muonsam,6150,0.0821,0.02
muonsam,6200,0.0873,0.02
muonsam,6250,0.1036,0.02
muonsam,6300,0.0802,0.02
muonsam,6350,0.0844,0.02
muonsam,6400,0.0885,0.02
muonsam,6450,0.0814,0.02
muonsam,6500,0.0846,0.02
muonsam,6550,0.0960,0.02
muonsam,6600,0.0933,0.02
muonsam,6650,0.0891,0.02
muonsam,6700,0.0767,0.02
muonsam,6750,0.0743,0.02
muonsam,6800,0.0797,0.02
muonsam,6850,0.0839,0.02
muonsam,6900,0.0844,0.02
muonsam,6950,0.0889,0.02
muonsam,7000,0.0863,0.02
muonsam,7050,0.0888,0.02
muonsam,7100,0.0680,0.02
muonsam,7150,0.0785,0.02
muonsam,7200,0.0822,0.02
muonsam,7250,0.0850,0.02
muonsam,7300,0.0735,0.02
