# train_loss is the mean over the preceding 50 batches
optimizer,step,train_loss,lr
muonsam,50,4.2635,0.02
muonsam,100,3.6710,0.02
muonsam,150,3.3481,0.02
muonsam,200,3.0328,0.02
muonsam,250,2.7668,0.02
muonsam,300,2.5605,0.02
muonsam,350,2.3607,0.02
muonsam,400,2.2466,0.02
muonsam,450,2.0522,0.02
muonsam,500,2.0059,0.02
muonsam,550,1.9456,0.02
muonsam,600,1.8380,0.02
muonsam,650,1.8294,0.02
muonsam,700,1.7363,0.02
muonsam,750,1.7699,0.02
muonsam,800,1.6409,0.02
muonsam,850,1.4903,0.02
muonsam,900,1.5095,0.02
muonsam,950,1.4552,0.02
muonsam,1000,1.4741,0.02
muonsam,1050,1.4552,0.02
muonsam,1100,1.4182,0.02
muonsam,1150,1.3670,0.02
muonsam,1200,1.3112,0.02
muonsam,1250,1.1926,0.02
muonsam,1300,1.2292,0.02
muonsam,1350,1.1960,0.02
muonsam,1400,1.2340,0.02
muonsam,1450,1.2314,0.02
muonsam,1500,1.1944,0.02
muonsam,1550,1.2100,0.02
muonsam,1600,1.0696,0.02
muonsam,1650,0.9901,0.02
muonsam,1700,1.0170,0.02
muonsam,1750,1.0475,0.02
muonsam,1800,1.0049,0.02
muonsam,1850,1.0477,0.02
muonsam,1900,1.0163,0.02
muonsam,1950,1.0136,0.02
muonsam,2000,0.8677,0.02
muonsam,2050,0.8735,0.02
muonsam,2100,0.8404,0.02
muonsam,2150,0.8794,0.02
muonsam,2200,0.8633,0.02
muonsam,2250,0.8942,0.02
muonsam,2300,0.9213,0.02
muonsam,2350,0.9099,0.02
muonsam,2400,0.7057,0.02
muonsam,2450,0.7097,0.02
muonsam,2500,0.7356,0.02
muonsam,2550,0.7585,0.02
muonsam,2600,0.7681,0.02
muonsam,2650,0.7933,0.02
muonsam,2700,0.8102,0.02
muonsam,2750,0.7115,0.02
muonsam,2800,0.5971,0.02
muonsam,2850,0.6087,0.02
muonsam,2900,0.6572,0.02
muonsam,2950,0.6499,0.02
muonsam,3000,0.6589,0.02
muonsam,3050,0.6667,0.02
muonsam,3100,0.6951,0.02
muonsam,3150,0.6229,0.02
muonsam,3200,0.5166,0.02
muonsam,3250,0.5301,0.02
muonsam,3300,0.5445,0.02
muonsam,3350,0.5717,0.02
muonsam,3400,0.5761,0.02
muonsam,3450,0.5885,0.02
muonsam,3500,0.6130,0.02
muonsam,3550,0.5020,0.02
muonsam,3600,0.4383,0.02
muonsam,3650,0.4568,0.02
muonsam,3700,0.4853,0.02
muonsam,3750,0.5060,0.02
muonsam,3800,0.4960,0.02
muonsam,3850,0.4919,0.02
muonsam,3900,0.5256,0.02
muonsam,3950,0.4095,0.02
muonsam,4000,0.3927,0.02
muonsam,4050,0.4097,0.02
muonsam,4100,0.4063,0.02
muonsam,4150,0.4283,0.02
muonsam,4200,0.4366,0.02
muonsam,4250,0.4423,0.02
muonsam,4300,0.4652,0.02
muonsam,4350,0.3362,0.02
muonsam,4400,0.3299,0.02
muonsam,4450,0.3476,0.02
muonsam,4500,0.3455,0.02
muonsam,4550,0.3588,0.02
muonsam,4600,0.3888,0.02
muonsam,4650,0.4106,0.02
muonsam,4700,0.3915,0.02
muonsam,4750,0.2820,0.02
muonsam,4800,0.2978,0.02
muonsam,4850,0.2959,0.02
muonsam,4900,0.3321,0.02
muonsam,4950,0.3411,0.02
muonsam,5000,0.3547,0.02
muonsam,5050,0.3627,0.02
muonsam,5100,0.3333,0.02
muonsam,5150,0.2534,0.02
muonsam,5200,0.2593,0.02
muonsam,5250,0.2901,0.02
muonsam,5300,0.2914,0.02
muonsam,5350,0.3094,0.02
muonsam,5400,0.3231,0.02
muonsam,5450,0.3267,0.02
muonsam,5500,0.2741,0.02
muonsam,5550,0.2358,0.02
muonsam,5600,0.2470,0.02
muonsam,5650,0.2610,0.02
muonsam,5700,0.2658,0.02
muonsam,5750,0.2764,0.02
muonsam,5800,0.2832,0.02
muonsam,5850,0.2795,0.02
muonsam,5900,0.2270,0.02
muonsam,5950,0.2231,0.02
muonsam,6000,0.2190,0.02
muonsam,6050,0.2508,0.02
muonsam,6100,0.2390,0.02
muonsam,6150,0.2609,0.02
muonsam,6200,0.2527,0.02
muonsam,6250,0.2653,0.02
muonsam,6300,0.2038,0.02
muonsam,6350,0.1961,0.02
muonsam,6400,0.1990,0.02
muonsam,6450,0.2183,0.02
muonsam,6500,0.2286,0.02
muonsam,6550,0.2221,0.02
muonsam,6600,0.2278,0.02
muonsam,6650,0.2193,0.02
muonsam,6700,0.1658,0.02
muonsam,6750,0.1819,0.02
muonsam,6800,0.1810,0.02
muonsam,6850,0.1819,0.02
muonsam,6900,0.1906,0.02
muonsam,6950,0.2084,0.02
muonsam,7000,0.2210,0.02
muonsam,7050,0.2004,0.02
muonsam,7100,0.1530,0.02
muonsam,7150,0.1580,0.02
muonsam,7200,0.1588,0.02
muonsam,7250,0.1726,0.02
muonsam,7300,0.1933,0.02
muonsam,7350,0.1935,0.02
muonsam,7400,0.1913,0.02
muonsam,7450,0.1775,0.02
muonsam,7500,0.1422,0.02
muonsam,7550,0.1458,0.02
muonsam,7600,0.1647,0.02
muonsam,7650,0.1733,0.02
muonsam,7700,0.1747,0.02
