# train_loss is the mean over the preceding 50 batches
optimizer,step,train_loss,lr
muonsam,50,4.2521,0.02
muonsam,100,3.7175,0.02
muonsam,150,3.3630,0.02
muonsam,200,3.0490,0.02
muonsam,250,2.8062,0.02
muonsam,300,2.6081,0.02
muonsam,350,2.4534,0.02
muonsam,400,2.2914,0.02
muonsam,450,2.1129,0.02
muonsam,500,2.0270,0.02
muonsam,550,1.9295,0.02
muonsam,600,1.9022,0.02
muonsam,650,1.8055,0.02
muonsam,700,1.8046,0.02
muonsam,750,1.7876,0.02
muonsam,800,1.6260,0.02
muonsam,850,1.5249,0.02
muonsam,900,1.5174,0.02
muonsam,950,1.4668,0.02
muonsam,1000,1.4411,0.02
muonsam,1050,1.4697,0.02
muonsam,1100,1.4492,0.02
muonsam,1150,1.4189,0.02
muonsam,1200,1.3028,0.02
muonsam,1250,1.2312,0.02
muonsam,1300,1.2528,0.02
muonsam,1350,1.2315,0.02
muonsam,1400,1.1948,0.02
muonsam,1450,1.1830,0.02
muonsam,1500,1.2259,0.02
muonsam,1550,1.2186,0.02
muonsam,1600,1.0309,0.02
muonsam,1650,1.0156,0.02
muonsam,1700,0.9876,0.02
muonsam,1750,1.0228,0.02
muonsam,1800,1.0142,0.02
muonsam,1850,1.0366,0.02
muonsam,1900,1.0568,0.02
muonsam,1950,1.0536,0.02
muonsam,2000,0.8746,0.02
muonsam,2050,0.8338,0.02
muonsam,2100,0.8566,0.02
muonsam,2150,0.8873,0.02
muonsam,2200,0.8985,0.02
muonsam,2250,0.9040,0.02
muonsam,2300,0.9213,0.02
muonsam,2350,0.9026,0.02
muonsam,2400,0.6921,0.02
muonsam,2450,0.7123,0.02
muonsam,2500,0.7466,0.02
muonsam,2550,0.7212,0.02
muonsam,2600,0.7559,0.02
muonsam,2650,0.7922,0.02
muonsam,2700,0.7818,0.02
muonsam,2750,0.7470,0.02
muonsam,2800,0.6065,0.02
muonsam,2850,0.6331,0.02
muonsam,2900,0.6401,0.02
muonsam,2950,0.6660,0.02
muonsam,3000,0.6756,0.02
muonsam,3050,0.6694,0.02
muonsam,3100,0.6554,0.02
muonsam,3150,0.6209,0.02
muonsam,3200,0.5084,0.02
muonsam,3250,0.5243,0.02
muonsam,3300,0.5574,0.02
muonsam,3350,0.5614,0.02
muonsam,3400,0.5634,0.02
muonsam,3450,0.5869,0.02
muonsam,3500,0.6134,0.02
muonsam,3550,0.5032,0.02
muonsam,3600,0.4451,0.02
muonsam,3650,0.4592,0.02
muonsam,3700,0.4797,0.02
muonsam,3750,0.5003,0.02
muonsam,3800,0.4926,0.02
muonsam,3850,0.5324,0.02
muonsam,3900,0.5204,0.02
muonsam,3950,0.3997,0.02
muonsam,4000,0.3965,0.02
muonsam,4050,0.3917,0.02
muonsam,4100,0.4132,0.02
muonsam,4150,0.4196,0.02
muonsam,4200,0.4352,0.02
muonsam,4250,0.4559,0.02
muonsam,4300,0.4362,0.02
muonsam,4350,0.3255,0.02
muonsam,4400,0.3464,0.02
muonsam,4450,0.3624,0.02
muonsam,4500,0.3471,0.02
muonsam,4550,0.3698,0.02
muonsam,4600,0.3856,0.02
muonsam,4650,0.3963,0.02
muonsam,4700,0.3910,0.02
muonsam,4750,0.2804,0.02
muonsam,4800,0.3014,0.02
muonsam,4850,0.3053,0.02
muonsam,4900,0.3157,0.02
muonsam,4950,0.3318,0.02
muonsam,5000,0.3364,0.02
muonsam,5050,0.3596,0.02
muonsam,5100,0.3227,0.02
muonsam,5150,0.2662,0.02
muonsam,5200,0.2735,0.02
muonsam,5250,0.2868,0.02
muonsam,5300,0.3057,0.02
muonsam,5350,0.2984,0.02
muonsam,5400,0.2976,0.02
muonsam,5450,0.3053,0.02
muonsam,5500,0.2721,0.02
muonsam,5550,0.2298,0.02
muonsam,5600,0.2516,0.02
muonsam,5650,0.2758,0.02
muonsam,5700,0.2568,0.02
muonsam,5750,0.2788,0.02
muonsam,5800,0.2745,0.02
muonsam,5850,0.2963,0.02
muonsam,5900,0.2332,0.02
muonsam,5950,0.2314,0.02
muonsam,6000,0.2385,0.02
muonsam,6050,0.2482,0.02
muonsam,6100,0.2489,0.02
muonsam,6150,0.2573,0.02
muonsam,6200,0.2610,0.02
muonsam,6250,0.2714,0.02
muonsam,6300,0.2149,0.02
muonsam,6350,0.2217,0.02
muonsam,6400,0.2410,0.02
