# train_loss is the mean over the preceding 50 batches
optimizer,step,train_loss,lr
muonsam,50,1.5435,0.02
muonsam,100,1.0621,0.02
muonsam,150,0.8626,0.02
muonsam,200,0.7441,0.02
muonsam,250,0.6343,0.02
muonsam,300,0.5896,0.02
muonsam,350,0.5060,0.02
muonsam,400,0.4688,0.02
muonsam,450,0.4483,0.02
muonsam,500,0.4091,0.02
muonsam,550,0.3824,0.02
muonsam,600,0.3670,0.02
muonsam,650,0.3123,0.02
muonsam,700,0.3009,0.02
muonsam,750,0.2859,0.02
muonsam,800,0.2830,0.02
muonsam,850,0.2537,0.02
muonsam,900,0.2453,0.02
muonsam,950,0.2261,0.02
muonsam,1000,0.2056,0.02
muonsam,1050,0.1908,0.02
muonsam,1100,0.1955,0.02
muonsam,1150,0.1664,0.02
muonsam,1200,0.1830,0.02
muonsam,1250,0.1818,0.02
muonsam,1300,0.1601,0.02
muonsam,1350,0.1776,0.02
muonsam,1400,0.2000,0.02
muonsam,1450,0.2061,0.02
muonsam,1500,0.1968,0.02
muonsam,1550,0.1810,0.02
muonsam,1600,0.1674,0.02
muonsam,1650,0.1528,0.02
muonsam,1700,0.1669,0.02
muonsam,1750,0.1716,0.02
muonsam,1800,0.1448,0.02
muonsam,1850,0.1369,0.02
muonsam,1900,0.1261,0.02
muonsam,1950,0.1206,0.02
muonsam,2000,0.1225,0.02
muonsam,2050,0.1219,0.02
muonsam,2100,0.1152,0.02
muonsam,2150,0.1189,0.02
muonsam,2200,0.1140,0.02
muonsam,2250,0.1104,0.02
muonsam,2300,0.1006,0.02
muonsam,2350,0.1013,0.02
muonsam,2400,0.0969,0.02
muonsam,2450,0.0957,0.02
muonsam,2500,0.0935,0.02
muonsam,2550,0.0892,0.02
muonsam,2600,0.0867,0.02
muonsam,2650,0.0905,0.02
muonsam,2700,0.0910,0.02
muonsam,2750,0.0874,0.02
muonsam,2800,0.0836,0.02
muonsam,2850,0.0698,0.02
muonsam,2900,0.0904,0.02
muonsam,2950,0.0835,0.02
muonsam,3000,0.0725,0.02
muonsam,3050,0.0746,0.02
muonsam,3100,0.0714,0.02
muonsam,3150,0.0754,0.02
muonsam,3200,0.0690,0.02
muonsam,3250,0.0555,0.02
muonsam,3300,0.0649,0.02
muonsam,3350,0.0732,0.02
muonsam,3400,0.0654,0.02
muonsam,3450,0.0672,0.02
muonsam,3500,0.0717,0.02
muonsam,3550,0.0666,0.02
muonsam,3600,0.0629,0.02
muonsam,3650,0.0649,0.02
muonsam,3700,0.0597,0.02
