# train_loss is the mean over the preceding 50 batches
optimizer,step,train_loss,lr
muonsam,50,1.5413,0.02
muonsam,100,1.0546,0.02
muonsam,150,0.8620,0.02
muonsam,200,0.7376,0.02
muonsam,250,0.6368,0.02
muonsam,300,0.5837,0.02
muonsam,350,0.5059,0.02
muonsam,400,0.4660,0.02
muonsam,450,0.4426,0.02
muonsam,500,0.4137,0.02
muonsam,550,0.3747,0.02
muonsam,600,0.3735,0.02
muonsam,650,0.3088,0.02
muonsam,700,0.2981,0.02
muonsam,750,0.2800,0.02
muonsam,800,0.2699,0.02
muonsam,850,0.2600,0.02
muonsam,900,0.2404,0.02
muonsam,950,0.2265,0.02
muonsam,1000,0.2012,0.02
muonsam,1050,0.1976,0.02
muonsam,1100,0.1960,0.02
muonsam,1150,0.1673,0.02
muonsam,1200,0.1891,0.02
muonsam,1250,0.2042,0.02
muonsam,1300,0.2493,0.02
muonsam,1350,0.3272,0.02
muonsam,1400,0.3521,0.02
muonsam,1450,0.3632,0.02
muonsam,1500,0.3587,0.02
muonsam,1550,0.3635,0.02
muonsam,1600,0.3495,0.02
muonsam,1650,0.3351,0.02
muonsam,1700,0.3255,0.02
muonsam,1750,0.3376,0.02
muonsam,1800,0.2908,0.02
muonsam,1850,0.2841,0.02
muonsam,1900,0.2717,0.02
muonsam,1950,0.2520,0.02
muonsam,2000,0.2461,0.02
muonsam,2050,0.2308,0.02
muonsam,2100,0.2124,0.02
muonsam,2150,0.2078,0.02
muonsam,2200,0.2130,0.02
muonsam,2250,0.1780,0.02
muonsam,2300,0.1648,0.02
muonsam,2350,0.1441,0.02
muonsam,2400,0.1404,0.02
muonsam,2450,0.1346,0.02
muonsam,2500,0.1303,0.02
muonsam,2550,0.1159,0.02
muonsam,2600,0.1143,0.02
muonsam,2650,0.1058,0.02
muonsam,2700,0.0897,0.02
muonsam,2750,0.0991,0.02
muonsam,2800,0.0887,0.02
muonsam,2850,0.0798,0.02
muonsam,2900,0.0838,0.02
muonsam,2950,0.0797,0.02
muonsam,3000,0.0731,0.02
muonsam,3050,0.0738,0.02
muonsam,3100,0.0782,0.02
muonsam,3150,0.0733,0.02
muonsam,3200,0.0683,0.02
muonsam,3250,0.0627,0.02
muonsam,3300,0.0671,0.02
muonsam,3350,0.0710,0.02
muonsam,3400,0.0636,0.02
muonsam,3450,0.0577,0.02
muonsam,3500,0.0691,0.02
muonsam,3550,0.0634,0.02
muonsam,3600,0.0649,0.02
muonsam,3650,0.0625,0.02
muonsam,3700,0.0622,0.02
