# train_loss is the mean over the preceding 50 batches
optimizer,step,train_loss,lr
muonsam,50,1.7967,0.02
muonsam,100,1.3593,0.02
muonsam,150,1.1475,0.02
muonsam,200,0.9621,0.02
muonsam,250,0.8591,0.02
muonsam,300,0.7904,0.02
muonsam,350,0.7022,0.02
muonsam,400,0.6888,0.02
muonsam,450,0.5996,0.02
muonsam,500,0.5818,0.02
muonsam,550,0.5881,0.02
muonsam,600,0.5685,0.02
muonsam,650,0.5196,0.02
muonsam,700,0.5234,0.02
muonsam,750,0.4953,0.02
muonsam,800,0.4824,0.02
muonsam,850,0.4514,0.02
muonsam,900,0.4219,0.02
muonsam,950,0.4241,0.02
muonsam,1000,0.4140,0.02
muonsam,1050,0.4134,0.02
muonsam,1100,0.4118,0.02
muonsam,1150,0.3944,0.02
muonsam,1200,0.3689,0.02
muonsam,1250,0.3221,0.02
muonsam,1300,0.3532,0.02
muonsam,1350,0.3448,0.02
muonsam,1400,0.3509,0.02
muonsam,1450,0.3453,0.02
muonsam,1500,0.3360,0.02
muonsam,1550,0.3412,0.02
muonsam,1600,0.3036,0.02
muonsam,1650,0.2815,0.02
muonsam,1700,0.2899,0.02
muonsam,1750,0.2772,0.02
muonsam,1800,0.2799,0.02
muonsam,1850,0.2804,0.02
muonsam,1900,0.3008,0.02
muonsam,1950,0.2835,0.02
muonsam,2000,0.2356,0.02
muonsam,2050,0.2598,0.02
muonsam,2100,0.2473,0.02
muonsam,2150,0.2435,0.02
muonsam,2200,0.2538,0.02
muonsam,2250,0.2396,0.02
muonsam,2300,0.2614,0.02
muonsam,2350,0.2368,0.02
muonsam,2400,0.2075,0.02
muonsam,2450,0.2071,0.02
muonsam,2500,0.1993,0.02
muonsam,2550,0.2073,0.02
muonsam,2600,0.2112,0.02
muonsam,2650,0.2405,0.02
muonsam,2700,0.2148,0.02
muonsam,2750,0.2151,0.02
muonsam,2800,0.1773,0.02
muonsam,2850,0.1716,0.02
muonsam,2900,0.1944,0.02
muonsam,2950,0.1911,0.02
muonsam,3000,0.1892,0.02
muonsam,3050,0.1943,0.02
muonsam,3100,0.2120,0.02
muonsam,3150,0.1880,0.02
muonsam,3200,0.1530,0.02
muonsam,3250,0.1545,0.02
muonsam,3300,0.1689,0.02
muonsam,3350,0.1735,0.02
muonsam,3400,0.1539,0.02
muonsam,3450,0.1828,0.02
muonsam,3500,0.1781,0.02
muonsam,3550,0.1513,0.02
muonsam,3600,0.1368,0.02
muonsam,3650,0.1416,0.02
muonsam,3700,0.1512,0.02
muonsam,3750,0.1501,0.02
muonsam,3800,0.1519,0.02
muonsam,3850,0.1606,0.02
muonsam,3900,0.1492,0.02
